区分,薬価基準収載医薬品コード,成分名,規格,品名,麻薬,業者名追記,Unnamed: 7,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1124005F1020,ハロキサゾラム,５ｍｇ１錠,,,,ソメリン錠５ｍｇ,第一三共,,先発品,,18.6,,
内用薬,1124005F2027,ハロキサゾラム,１０ｍｇ１錠,,,,ソメリン錠１０ｍｇ,第一三共,,先発品,,27.8,,
内用薬,1124007F1020,トリアゾラム,０．１２５ｍｇ１錠,,,,ハルシオン０．１２５ｍｇ錠,ファイザー,,先発品,○,10.2,,
内用薬,1124007F1038,トリアゾラム,０．１２５ｍｇ１錠,,,,ハルラック錠０．１２５ｍｇ,富士薬品,後発品,,,5.6,,
内用薬,1124007F1046,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「ＥＭＥＣ」,サンノーバ,後発品,,,5.6,,
内用薬,1124007F1070,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「ＪＧ」,大興製薬,後発品,,,5.6,,
内用薬,1124007F1089,トリアゾラム,０．１２５ｍｇ１錠,,,,アスコマーナ錠０．１２５ｍｇ,日新製薬（山形）,後発品,,,5.6,,
内用薬,1124007F1097,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,5.6,,
内用薬,1124007F1100,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「タナベ」,長生堂製薬,後発品,,,5.6,H26.9.30まで,
内用薬,1124007F1119,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアラム錠０．１２５ｍｇ,小林化工,後発品,,,5.6,H27.3.31まで,
内用薬,1124007F1127,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「テバ」,テバ製薬,後発品,,,5.6,,
内用薬,1124007F1135,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「日医工」,日医工,後発品,,,5.6,,
内用薬,1124007F1143,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「ＣＨ」,長生堂製薬,後発品,,,5.6,,
内用薬,1124007F1151,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「ＫＮ」,小林化工,後発品,,,5.6,,H26.6.20収載
内用薬,1124007F2026,トリアゾラム,０．２５ｍｇ１錠,,,,ハルシオン０．２５ｍｇ錠,ファイザー,,先発品,○,14.7,,
内用薬,1124007F2042,トリアゾラム,０．２５ｍｇ１錠,,,,アスコマーナ錠０．２５,日新製薬（山形）,後発品,,,5.8,,
内用薬,1124007F2050,トリアゾラム,０．２５ｍｇ１錠,,,,カムリトン０．２５ｍｇ錠,寿製薬,後発品,,,5.8,H27.3.31まで,
内用薬,1124007F2107,トリアゾラム,０．２５ｍｇ１錠,,,,ハルラック錠０．２５ｍｇ,富士薬品,後発品,,,5.8,,
内用薬,1124007F2174,トリアゾラム,０．２５ｍｇ１錠,,,,トリアラム錠０．２５ｍｇ,小林化工,後発品,,,5.8,H27.3.31まで,
内用薬,1124007F2182,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「ＪＧ」,大興製薬,後発品,,,5.8,,
内用薬,1124007F2190,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「ＥＭＥＣ」,サンノーバ,後発品,,,5.8,,
内用薬,1124007F2204,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,5.8,,
内用薬,1124007F2212,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「タナベ」,長生堂製薬,後発品,,,5.8,H26.9.30まで,
内用薬,1124007F2220,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「テバ」,テバ製薬,後発品,,,5.8,,
内用薬,1124007F2239,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「日医工」,日医工,後発品,,,5.8,,
内用薬,1124007F2247,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「ＣＨ」,長生堂製薬,後発品,,,5.8,,
内用薬,1124007F2255,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「ＫＮ」,小林化工,後発品,,,5.8,,H26.6.20収載
内用薬,1124008F1024,フルニトラゼパム,１ｍｇ１錠,,,,サイレース錠１ｍｇ,エーザイ,,先発品,○,15.1,,
内用薬,1124008F1032,フルニトラゼパム,１ｍｇ１錠,,,,ロヒプノール錠１,中外製薬,,先発品,○,14.2,,
内用薬,1124008F1040,フルニトラゼパム,１ｍｇ１錠,,,,ビビットエース錠１ｍｇ,辰巳化学,後発品,,,5.6,,
内用薬,1124008F1059,フルニトラゼパム,１ｍｇ１錠,,,,フルトラース錠１ｍｇ,シオノケミカル,後発品,,,5.6,H27.3.31まで,
内用薬,1124008F1067,フルニトラゼパム,１ｍｇ１錠,,,,フルニトラゼパム錠１ｍｇ「アメル」,共和薬品工業,後発品,,,5.6,,
内用薬,1124008F1075,フルニトラゼパム,１ｍｇ１錠,,,,フルニトラゼパム錠１ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,5.6,,
内用薬,1124008F1083,フルニトラゼパム,１ｍｇ１錠,,,,フルニトラゼパム錠１ｍｇ「ＳＮ」,シオノケミカル,後発品,,,5.6,,H26.6.20収載
内用薬,1124008F2012,フルニトラゼパム,２ｍｇ１錠,,,,フルニトラゼパム２ｍｇ錠,,後発品,,,6.2,,
内用薬,1124008F2020,フルニトラゼパム,２ｍｇ１錠,,,,サイレース錠２ｍｇ,エーザイ,,先発品,○,21.5,,
内用薬,1124008F2039,フルニトラゼパム,２ｍｇ１錠,,,,ロヒプノール錠２,中外製薬,,先発品,○,20.9,,
内用薬,1124009F1010,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラム０．２５ｍｇ錠（１）,,後発品,,,8.5,,
内用薬,1124009F1037,ブロチゾラム,０．２５ｍｇ１錠,,,,グッドミン錠０．２５ｍｇ,田辺三菱製薬,後発品,,,10.7,,
内用薬,1124009F1070,ブロチゾラム,０．２５ｍｇ１錠,局,,,ノクスタール錠０．２５ｍｇ,アルフレッサファーマ,後発品,,,10.7,,
内用薬,1124009F1185,ブロチゾラム,０．２５ｍｇ１錠,局,,,ブロチゾラムＭ錠０．２５「ＥＭＥＣ」,サンノーバ,後発品,,,10.7,,
内用薬,1124009F1207,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロメトン錠０．２５ｍｇ,マイラン製薬,後発品,,,10.7,,
内用薬,1124009F1223,ブロチゾラム,０．２５ｍｇ１錠,,,,レンドルミン錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,26.4,,
内用薬,1124009F1312,ブロチゾラム,０．２５ｍｇ１錠,局,,,ブロチゾラム錠０．２５ｍｇ「サワイ」,メディサ新薬,後発品,,,10.7,,
内用薬,1124009F2017,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラム０．２５ｍｇ錠（２）,,後発品,,,8.5,,
内用薬,1124009F2025,ブロチゾラム,０．２５ｍｇ１錠,,,,レンドルミンＤ錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,26.4,,
内用薬,1124009F2076,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,メディサ新薬,後発品,,,10.7,,
内用薬,1124009F3030,ブロチゾラム,０．１２５ｍｇ１錠,局,,,ブロチゾラム錠０．１２５ｍｇ「ＮＰ」,ニプロ,後発品,,,5.6,,
内用薬,1124010F1021,ロルメタゼパム,１ｍｇ１錠,,,,エバミール錠１．０,バイエル薬品,,先発品,,20.8,,
内用薬,1124010F1030,ロルメタゼパム,１ｍｇ１錠,,,,ロラメット錠１．０,あすか製薬,,先発品,,21.9,,
内用薬,1124013B1031,オキサゾラム,１０％１ｇ,,,,セレナール散１０％,第一三共,,先発品,,41.9,,
内用薬,1124013C1010,オキサゾラム,１０％１ｇ,,,,オキサゾラム１０％細粒,,後発品,,,10.8,,
内用薬,1124013F1033,オキサゾラム,５ｍｇ１錠,,,,セレナール錠５,第一三共,,先発品,,5.6,,
内用薬,1124013F2064,オキサゾラム,１０ｍｇ１錠,,,,セレナール錠１０,第一三共,,先発品,,5.7,,
内用薬,1124014B1036,クロキサゾラム,１％１ｇ,,,,セパゾン散１％,第一三共,,先発品,,26,,
内用薬,1124014F1038,クロキサゾラム,１ｍｇ１錠,,,,セパゾン錠１,第一三共,,先発品,,5.6,,
内用薬,1124014F2034,クロキサゾラム,２ｍｇ１錠,,,,セパゾン錠２,第一三共,,先発品,,5.7,,
内用薬,1124015M2038,クロラゼプ酸二カリウム,７．５ｍｇ１カプセル,局,,,メンドンカプセル７．５ｍｇ,アボットジャパン,,先発品,,11.4,,
内用薬,1124017B1129,ジアゼパム,１％１ｇ,,,,セルシン散１％,武田薬品工業,,準先発品,○,17.3,,
内用薬,1124017B1137,ジアゼパム,１％１ｇ,,,,ジアゼパム散１％「アメル」,共和薬品工業,後発品,,,6.2,,
内用薬,1124017B1145,ジアゼパム,１％１ｇ,,,,ホリゾン散１％,丸石製薬,,準先発品,○,16.1,,
内用薬,1124017F2046,ジアゼパム,２ｍｇ１錠,局,,,ジアゼパム錠２「サワイ」,沢井製薬,後発品,,,5.6,,
内用薬,1124017F2054,ジアゼパム,２ｍｇ１錠,局,,,ジアゼパム錠２「トーワ」,東和薬品,後発品,,,5.6,,
内用薬,1124017F2089,ジアゼパム,２ｍｇ１錠,局,,,ジアパックス錠２ｍｇ,大鵬薬品工業,後発品,,,5.6,,
内用薬,1124017F2100,ジアゼパム,２ｍｇ１錠,局,,,セレナミン錠２ｍｇ,旭化成ファーマ,後発品,,,5.6,,
内用薬,1124017F2135,ジアゼパム,２ｍｇ１錠,局,,,２ｍｇセルシン錠,武田薬品工業,,準先発品,○,5.9,,
内用薬,1124017F2151,ジアゼパム,２ｍｇ１錠,局,,,ホリゾン錠２ｍｇ,丸石製薬,,準先発品,○,5.9,,
内用薬,1124017F2194,ジアゼパム,２ｍｇ１錠,局,,,ジアゼパム錠２ｍｇ「アメル」,共和薬品工業,後発品,,,5.6,,
内用薬,1124017F2216,ジアゼパム,２ｍｇ１錠,局,,,ジアゼパム錠２ｍｇ「ツルハラ」,鶴原製薬,後発品,,,5.6,,
内用薬,1124017F4049,ジアゼパム,５ｍｇ１錠,局,,,５ｍｇセルシン錠,武田薬品工業,,準先発品,○,9.2,,
内用薬,1124017F4065,ジアゼパム,５ｍｇ１錠,局,,,ジアゼパム錠５「トーワ」,東和薬品,後発品,,,5.6,,
内用薬,1124017F4090,ジアゼパム,５ｍｇ１錠,局,,,ジアパックス錠５ｍｇ,大鵬薬品工業,後発品,,,5.7,,
内用薬,1124017F4111,ジアゼパム,５ｍｇ１錠,局,,,セレナミン錠５ｍｇ,旭化成ファーマ,後発品,,,5.7,,
内用薬,1124017F4162,ジアゼパム,５ｍｇ１錠,局,,,ホリゾン錠５ｍｇ,丸石製薬,,準先発品,○,9.2,,
内用薬,1124017F4200,ジアゼパム,５ｍｇ１錠,局,,,ジアゼパム錠５ｍｇ「アメル」,共和薬品工業,後発品,,,5.6,,
内用薬,1124017F4219,ジアゼパム,５ｍｇ１錠,局,,,ジアゼパム錠５ｍｇ「ツルハラ」,鶴原製薬,後発品,,,5.6,,
内用薬,1124017F5010,ジアゼパム,１０ｍｇ１錠,,,,ジアゼパム１０ｍｇ錠,,後発品,,,5.6,,
内用薬,1124017F5037,ジアゼパム,１０ｍｇ１錠,局,,,１０ｍｇセルシン錠,武田薬品工業,,準先発品,○,18,,
内用薬,1124017Q1032,ジアゼパム,０．１％１ｍＬ,,,,セルシンシロップ０．１％,武田薬品工業,,,,17.6,,
内用薬,1124019C1034,フルジアゼパム,０．１％１ｇ,,,,エリスパン細粒０．１％,大日本住友製薬,,先発品,,26.8,,
内用薬,1124019F1030,フルジアゼパム,０．２５ｍｇ１錠,,,,エリスパン錠０．２５ｍｇ,大日本住友製薬,,先発品,,8.6,,
内用薬,1124020C1045,ブロマゼパム,１％１ｇ,,,,レキソタン細粒１％,中外製薬,,先発品,○,28.5,,
内用薬,1124020C1053,ブロマゼパム,１％１ｇ,,,,セニラン細粒１％,サンド,後発品,,,24.8,,
内用薬,1124020F1025,ブロマゼパム,１ｍｇ１錠,,,,レキソタン錠１,中外製薬,,先発品,,5.6,,
内用薬,1124020F1033,ブロマゼパム,１ｍｇ１錠,,,,セニラン錠１ｍｇ,サンド,★,,,5.6,,
内用薬,1124020F2030,ブロマゼパム,２ｍｇ１錠,,,,レキソタン錠２,中外製薬,,先発品,○,6,,
内用薬,1124020F2048,ブロマゼパム,２ｍｇ１錠,,,,セニラン錠２ｍｇ,サンド,後発品,,,5.6,,
内用薬,1124020F3036,ブロマゼパム,３ｍｇ１錠,,,,セニラン錠３ｍｇ,サンド,後発品,,,5.8,,
内用薬,1124020F4032,ブロマゼパム,５ｍｇ１錠,,,,レキソタン錠５,中外製薬,,先発品,○,14,,
内用薬,1124020F4040,ブロマゼパム,５ｍｇ１錠,,,,セニラン錠５ｍｇ,サンド,後発品,,,7.8,,
内用薬,1124021F1046,メダゼパム,２ｍｇ１錠,,,,メダゼパム錠２（ツルハラ）,鶴原製薬,★,,,5.6,,
内用薬,1124021F1054,メダゼパム,２ｍｇ１錠,,,,レスミット錠２,塩野義製薬,,先発品,,5.6,,
内用薬,1124021F2123,メダゼパム,５ｍｇ１錠,,,,メダゼパム錠５（ツルハラ）,鶴原製薬,★,,,5.6,,
内用薬,1124021F2166,メダゼパム,５ｍｇ１錠,,,,レスミット錠５,塩野義製薬,,先発品,,5.6,,
内用薬,1124022F1067,ロラゼパム,０．５ｍｇ１錠,,,,ワイパックス錠０．５,ファイザー,,先発品,○,6.1,,
内用薬,1124022F1075,ロラゼパム,０．５ｍｇ１錠,,,,ユーパン錠０．５ｍｇ,沢井製薬,後発品,,,5,H26.9.30まで,
内用薬,1124022F1083,ロラゼパム,０．５ｍｇ１錠,,,,ロラゼパム錠０．５ｍｇ「サワイ」,沢井製薬,後発品,,,5,,
内用薬,1124022F2071,ロラゼパム,１ｍｇ１錠,,,,ワイパックス錠１．０,ファイザー,,先発品,○,11.2,,
内用薬,1124022F2101,ロラゼパム,１ｍｇ１錠,,,,ユーパン錠１．０ｍｇ,沢井製薬,後発品,,,5.6,H26.9.30まで,
内用薬,1124022F2110,ロラゼパム,１ｍｇ１錠,,,,ロラゼパム錠１ｍｇ「サワイ」,沢井製薬,後発品,,,5.6,,
内用薬,1124023F1029,アルプラゾラム,０．４ｍｇ１錠,,,,コンスタン０．４ｍｇ錠,武田薬品工業,,先発品,○,9.4,,
内用薬,1124023F1037,アルプラゾラム,０．４ｍｇ１錠,,,,ソラナックス０．４ｍｇ錠,ファイザー,,先発品,○,9.2,,
内用薬,1124023F1053,アルプラゾラム,０．４ｍｇ１錠,,,,メデポリン錠０．４,メディサ新薬,後発品,,,5.6,H27.3.31まで,
内用薬,1124023F1096,アルプラゾラム,０．４ｍｇ１錠,,,,カームダン錠０．４ｍｇ,共和薬品工業,後発品,,,5.6,,
内用薬,1124023F1100,アルプラゾラム,０．４ｍｇ１錠,,,,アルプラゾラム錠０．４ｍｇ「トーワ」,東和薬品,後発品,,,5.6,,
内用薬,1124023F1118,アルプラゾラム,０．４ｍｇ１錠,,,,アルプラゾラム錠０．４ｍｇ「サワイ」,メディサ新薬,後発品,,,5.6,,H26.6.20収載
内用薬,1124023F2025,アルプラゾラム,０．８ｍｇ１錠,,,,コンスタン０．８ｍｇ錠,武田薬品工業,,先発品,○,15.5,,
内用薬,1124023F2033,アルプラゾラム,０．８ｍｇ１錠,,,,ソラナックス０．８ｍｇ錠,ファイザー,,先発品,○,15.5,,
内用薬,1124023F2041,アルプラゾラム,０．８ｍｇ１錠,,,,カームダン錠０．８ｍｇ,共和薬品工業,後発品,,,8.2,,
内用薬,1124023F2050,アルプラゾラム,０．８ｍｇ１錠,,,,アルプラゾラム錠０．８ｍｇ「トーワ」,東和薬品,後発品,,,8.2,,
内用薬,1124023F2068,アルプラゾラム,０．８ｍｇ１錠,,,,メデポリン錠０．８,メディサ新薬,後発品,,,8.2,H27.3.31まで,
内用薬,1124023F2076,アルプラゾラム,０．８ｍｇ１錠,,,,アルプラゾラム錠０．８ｍｇ「サワイ」,メディサ新薬,後発品,,,8.2,,H26.6.20収載
内用薬,1124024C1035,フルタゾラム,１％１ｇ,,,,コレミナール細粒１％,沢井製薬,,先発品,,16.7,,
内用薬,1124024F1031,フルタゾラム,４ｍｇ１錠,,,,コレミナール錠４ｍｇ,沢井製薬,,先発品,,9.2,,
内用薬,1124025C1030,メキサゾラム,０．１％１ｇ,,,,メレックス細粒０．１％,第一三共,,先発品,,13.5,,
内用薬,1124025F1028,メキサゾラム,０．５ｍｇ１錠,,,,メレックス錠０．５ｍｇ,第一三共,,先発品,,7.2,,
内用薬,1124025F2024,メキサゾラム,１ｍｇ１錠,,,,メレックス錠１ｍｇ,第一三共,,先発品,,13.2,,
内用薬,1124026C1085,トフィソパム,１０％１ｇ,,,,グランダキシン細粒１０％,持田製薬,,先発品,○,27.7,,
内用薬,1124026C1093,トフィソパム,１０％１ｇ,,,,ツルベール細粒１０％,鶴原製薬,後発品,,,9,H27.3.31まで,
内用薬,1124026C1107,トフィソパム,１０％１ｇ,,,,トフィソパム細粒１０％「ＣＨ」,長生堂製薬,後発品,,,9,,
内用薬,1124026C1115,トフィソパム,１０％１ｇ,,,,トフィソパム細粒１０％「ツルハラ」,鶴原製薬,後発品,,,9,,H26.6.20収載
内用薬,1124026F1022,トフィソパム,５０ｍｇ１錠,,,,グランダキシン錠５０,持田製薬,,先発品,○,15.7,,
内用薬,1124026F1030,トフィソパム,５０ｍｇ１錠,,,,エマンダキシン錠５０ｍｇ,長生堂製薬,後発品,,,5.8,,
内用薬,1124026F1111,トフィソパム,５０ｍｇ１錠,,,,トフィルシン錠５０,シオノケミカル,後発品,,,5.8,H27.3.31まで,
内用薬,1124026F1120,トフィソパム,５０ｍｇ１錠,,,,トルバナシン錠５０,大正薬品工業,後発品,,,5.8,H27.3.31まで,
内用薬,1124026F1219,トフィソパム,５０ｍｇ１錠,,,,グランパム錠５０ｍｇ,東和薬品,後発品,,,5.8,,
内用薬,1124026F1235,トフィソパム,５０ｍｇ１錠,,,,トロンヘイム錠５０ｍｇ,日医工,後発品,,,5.8,H26.9.30まで,
内用薬,1124026F1243,トフィソパム,５０ｍｇ１錠,,,,バイダキシン錠５０ｍｇ,ナガセ医薬品,後発品,,,5.8,,
内用薬,1124026F1251,トフィソパム,５０ｍｇ１錠,,,,トフィス錠５０ｍｇ,沢井製薬,後発品,,,5.8,,
内用薬,1124026F1294,トフィソパム,５０ｍｇ１錠,,,,トフィソパム錠５０ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,5.8,,
内用薬,1124026F1308,トフィソパム,５０ｍｇ１錠,,,,トフィソパム錠５０ｍｇ「杏林」,キョーリンリメディオ,後発品,,,5.8,,
内用薬,1124026F1316,トフィソパム,５０ｍｇ１錠,,,,トフィソパム錠５０ｍｇ「オーハラ」,大原薬品工業,後発品,,,5.8,,
内用薬,1124026F1324,トフィソパム,５０ｍｇ１錠,,,,トフィソパム錠５０ｍｇ「日医工」,日医工,後発品,,,5.8,,
内用薬,1124027F1035,フルトプラゼパム,２ｍｇ１錠,局,,,レスタス錠２ｍｇ,ＭＳＤ,,先発品,,20.4,,
内用薬,1124028B1011,クロルジアゼポキシド,１％１ｇ,局,,,クロルジアゼポキシド散,,,,,7.2,,
内用薬,1124028B1046,クロルジアゼポキシド,１％１ｇ,局,,,コントール散１％,武田薬品工業,,,,8.5,,
内用薬,1124028B2018,クロルジアゼポキシド,１０％１ｇ,局,,,クロルジアゼポキシド散,,,,,43.3,,
内用薬,1124028F1013,クロルジアゼポキシド,５ｍｇ１錠,局,,,クロルジアゼポキシド錠,,,,,9.6,,
内用薬,1124028F2010,クロルジアゼポキシド,１０ｍｇ１錠,局,,,クロルジアゼポキシド錠,,,,,9.6,,
内用薬,1124029C1038,ロフラゼプ酸エチル,１％１ｇ,,,,メイラックス細粒１％,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,,206.6,,
内用薬,1124029F1026,ロフラゼプ酸エチル,１ｍｇ１錠,,,,メイラックス錠１ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,○,21.6,,
内用薬,1124029F1042,ロフラゼプ酸エチル,１ｍｇ１錠,,,,スカルナーゼ錠１ｍｇ,東和薬品,後発品,,,8,H27.3.31まで,
内用薬,1124029F1069,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ロンラックス錠１ｍｇ,シオノケミカル,後発品,,,8,,
内用薬,1124029F1085,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ジメトックス錠１,日医工,後発品,,,8,,
内用薬,1124029F1123,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ロフラゼプ酸エチル錠１ｍｇ「サワイ」,沢井製薬,後発品,,,8,,
内用薬,1124029F1131,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ロフラゼプ酸エチル錠１ｍｇ「トーワ」,東和薬品,後発品,,,8,,H26.6.20収載
内用薬,1124029F2014,ロフラゼプ酸エチル,２ｍｇ１錠,,,,ロフラゼプ酸エチル２ｍｇ錠,,後発品,,,9.8,,
内用薬,1124029F2022,ロフラゼプ酸エチル,２ｍｇ１錠,,,,メイラックス錠２ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,○,38.6,,
内用薬,1124029F2090,ロフラゼプ酸エチル,２ｍｇ１錠,,,,ロフラゼプ酸エチル錠２ｍｇ「サワイ」,沢井製薬,後発品,,,14.2,,
内用薬,1124030F1029,クアゼパム,１５ｍｇ１錠,,,,ドラール錠１５,久光製薬,,先発品,○,98.5,,
内用薬,1124030F1037,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「ＭＮＰ」,日新製薬（山形）,後発品,,,57.4,,
