薬価基準収載医薬品コード,成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,収載年月日,経過措置による使用期限,備考,診療報酬における加算等の算定対象から除外する品目
1124017F4162,ジアゼパム,ホリゾン錠５ｍｇ,,,,,
1124017F5037,ジアゼパム,１０ｍｇセルシン錠,,,,,
1124017F5096,ジアゼパム,ジアゼパム錠１０ｍｇ「ツルハラ」,3,,,,
1124017Q1032,ジアゼパム,セルシンシロップ０．１％,,,,,
1124019F1030,フルジアゼパム,エリスパン錠０．２５ｍｇ,1,,,,
1124020C1010,ブロマゼパム,ブロマゼパム１％細粒,3,,,,
1124020C1045,ブロマゼパム,レキソタン細粒１％,2,,,,
1124020F1017,ブロマゼパム,ブロマゼパム１ｍｇ錠,★,,,,
1124020F1025,ブロマゼパム,レキソタン錠１,☆,,,,
1124020F2013,ブロマゼパム,ブロマゼパム２ｍｇ錠,3,,,,
1124020F2030,ブロマゼパム,レキソタン錠２,2,,,,
1124020F3010,ブロマゼパム,ブロマゼパム３ｍｇ錠,3,,,,
1124020F4016,ブロマゼパム,ブロマゼパム５ｍｇ錠,3,,,,
1124020F4032,ブロマゼパム,レキソタン錠５,2,,,,
1124021F1046,メダゼパム,メダゼパム錠２（ツルハラ）,★,,,,
1124021F1054,メダゼパム,レスミット錠２,☆,,,,
1124021F2123,メダゼパム,メダゼパム錠５（ツルハラ）,★,,,,
1124021F2166,メダゼパム,レスミット錠５,☆,,,,
1124022F1016,ロラゼパム,ロラゼパム０．５ｍｇ錠,3,,,,
1124022F1067,ロラゼパム,ワイパックス錠０．５,2,,,,
1124022F2012,ロラゼパム,ロラゼパム１ｍｇ錠,3,,,,
1124022F2071,ロラゼパム,ワイパックス錠１．０,2,,,,
1124023F1010,アルプラゾラム,アルプラゾラム０．４ｍｇ錠,3,,,,
1124023F1029,アルプラゾラム,コンスタン０．４ｍｇ錠,2,,,,
1124023F1037,アルプラゾラム,ソラナックス０．４ｍｇ錠,2,,,,
1124023F2017,アルプラゾラム,アルプラゾラム０．８ｍｇ錠,3,,,,
1124023F2025,アルプラゾラム,コンスタン０．８ｍｇ錠,2,,,,
1124023F2033,アルプラゾラム,ソラナックス０．８ｍｇ錠,2,,,,
1124024C1035,フルタゾラム,コレミナール細粒１％,1,,,,
1124024F1031,フルタゾラム,コレミナール錠４ｍｇ,1,,,,
1124025C1030,メキサゾラム,メレックス細粒０．１％,1,,,,
1124025F1028,メキサゾラム,メレックス錠０．５ｍｇ,1,,,,
1124025F2024,メキサゾラム,メレックス錠１ｍｇ,1,,,,
1124026C1018,トフィソパム,トフィソパム１０％細粒,3,,,,
1124026C1085,トフィソパム,グランダキシン細粒１０％,2,,R5.3.31まで,,
1124026F1014,トフィソパム,トフィソパム５０ｍｇ錠,3,,,,
1124026F1022,トフィソパム,グランダキシン錠５０,2,,,,
1124027F1035,フルトプラゼパム,レスタス錠２ｍｇ,1,,,,
1124028B1011,クロルジアゼポキシド,クロルジアゼポキシド散,,,,,
1124028B1046,クロルジアゼポキシド,コントール散１％,,,,,
1124028B2018,クロルジアゼポキシド,クロルジアゼポキシド散,,,,,
1124028F1013,クロルジアゼポキシド,クロルジアゼポキシド錠,,,,,
1124028F2010,クロルジアゼポキシド,クロルジアゼポキシド錠,,,,,
1124029C1038,ロフラゼプ酸エチル,メイラックス細粒１％,1,,,,
1124029F1018,ロフラゼプ酸エチル,ロフラゼプ酸エチル１ｍｇ錠,3,,,,
1124029F1026,ロフラゼプ酸エチル,メイラックス錠１ｍｇ,2,,,,
1124029F1158,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠１ｍｇ「日医工」,3,,,,
1124029F2014,ロフラゼプ酸エチル,ロフラゼプ酸エチル２ｍｇ錠,3,,,,
1124029F2022,ロフラゼプ酸エチル,メイラックス錠２ｍｇ,2,,,,
1124029F2090,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠２ｍｇ「サワイ」,3,,,,
1124029F2103,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠２ｍｇ「トーワ」,3,,,,
1124029F2111,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠２ｍｇ「ＳＮ」,3,,,,
1124030F1010,クアゼパム,クアゼパム１５ｍｇ錠,3,,,,1
1124030F1029,クアゼパム,ドラール錠１５,2,,,,1
1124030F1037,クアゼパム,クアゼパム錠１５ｍｇ「ＭＮＰ」,3,,,,1
1124030F1061,クアゼパム,クアゼパム錠１５ｍｇ「トーワ」,3,,,,1
1124030F1070,クアゼパム,クアゼパム錠１５ｍｇ「日医工」,3,,,,1
1124030F2017,クアゼパム,クアゼパム２０ｍｇ錠,3,,,,1
1124030F2025,クアゼパム,ドラール錠２０,2,,,,1
1124030F2033,クアゼパム,クアゼパム錠２０ｍｇ「ＭＮＰ」,3,,,,1
1124030F2050,クアゼパム,クアゼパム錠２０ｍｇ「トーワ」,3,,,,1
1124030F2084,クアゼパム,クアゼパム錠２０ｍｇ「日医工」,3,,,,1
1125001X1017,アモバルビタール,アモバルビタール,,,,,
1125002X1011,バルビタール,バルビタール,,,,,
1125003B2015,フェノバルビタール,フェノバルビタール散１０％,,,,,
1125003B2031,フェノバルビタール,フェノバール散１０％,,,,,
1125003B2139,フェノバルビタール,フェノバルビタール散１０％「マルイシ」,,,,,
1125003B2163,フェノバルビタール,フェノバルビタール散１０％「シオエ」,,,,,
1125003X1016,フェノバルビタール,フェノバルビタール,,,,,
1125004F1023,フェノバルビタール,フェノバール錠３０ｍｇ,,,,,
1125004S1030,フェノバルビタール,フェノバールエリキシル０．４％,,,,,
1125006F1030,ペントバルビタールカルシウム,ラボナ錠５０ｍｇ,,,,,
1126001X1014,臭化カリウム,臭化カリウム,,,,,
1126002X1019,臭化ナトリウム,臭化ナトリウム,,,,,
1129004Q1031,トリクロホスナトリウム,トリクロリールシロップ１０％,,,,,
1129006F1013,リルマザホン塩酸塩水和物,リルマザホン塩酸塩１ｍｇ錠,3,,,,1
1129006F1021,リルマザホン塩酸塩水和物,リスミー錠１ｍｇ,2,,,,1
1129006F2010,リルマザホン塩酸塩水和物,リルマザホン塩酸塩２ｍｇ錠,3,,,,1
1129006F2028,リルマザホン塩酸塩水和物,リスミー錠２ｍｇ,2,,,,1
1129007F1018,ゾピクロン,ゾピクロン７．５ｍｇ錠,3,,,,
1129007F1026,ゾピクロン,アモバン錠７．５,2,,,,
1129007F1107,ゾピクロン,ゾピクロン錠７．５ｍｇ「トーワ」,3,,,,
1129007F1123,ゾピクロン,ゾピクロン錠７．５ｍｇ「サワイ」,3,,,,
1129007F2014,ゾピクロン,ゾピクロン１０ｍｇ錠,3,,,,
1129007F2022,ゾピクロン,アモバン錠１０,2,,,,
1129007F2073,ゾピクロン,ゾピクロン錠１０ｍｇ「トーワ」,3,,,,
1129007F2103,ゾピクロン,ゾピクロン錠１０ｍｇ「サワイ」,3,,,,
1129008F1012,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩５ｍｇ錠,3,,,,1
1129008F1039,タンドスピロンクエン酸塩,セディール錠５ｍｇ,2,,,,1
1129008F2019,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩１０ｍｇ錠,3,,,,1
1129008F2035,タンドスピロンクエン酸塩,セディール錠１０ｍｇ,2,,,,1
1129008F3015,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩２０ｍｇ錠,3,,,,1
1129008F3023,タンドスピロンクエン酸塩,セディール錠２０ｍｇ,2,,,,1
1129009F1017,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩５ｍｇ錠,3,,,,1
1129009F1025,ゾルピデム酒石酸塩,マイスリー錠５ｍｇ,2,,,,1
1129009F2013,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩１０ｍｇ錠,3,,,,1
1129009F2021,ゾルピデム酒石酸塩,マイスリー錠１０ｍｇ,2,,,,1
1129009F2056,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＫ」,3,,,,1
1129009F2064,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＳＥＰ」,3,,,,1
1129009F2080,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＥＥ」,3,,,,1
1129009F2129,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＫＮ」,3,,,,1
1129009F2161,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,3,,,,1
1129009F2170,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＹＤ」,3,,,,1
1129009F2188,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＺＥ」,3,,,,1
1129009F2218,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「オーハラ」,3,,,,1
1129009F2234,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,3,,,,1
1129009F2242,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「サワイ」,3,,,,1
1129009F2269,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「タカタ」,3,,,,1
1129009F2285,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,3,,,,1
1129009F2307,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「日新」,3,,,,1
1129009F2331,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「明治」,3,,,,1
1129009F2358,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＫＭＰ」,3,,,,1
1129009F2366,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,3,,,,1
1129009F3010,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,3,,,,1
1129009F3052,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤフィルム５ｍｇ「モチダ」,3,,,,1
1129009F4016,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩１０ｍｇ口腔内崩壊錠,3,,,,1
1129009F4024,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「ＥＥ」,3,,,,1
1129009F4032,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「ＫＮ」,3,,,,1
1129009F4040,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,3,,,,1
1129009F4059,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,3,,,,1
1129009F4067,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,3,,,,1
1129009S1023,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,3,,,,1
1129009S2020,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,3,,,,1
1129010F1010,エスゾピクロン,エスゾピクロン１ｍｇ錠,3,,,,
1129010F1028,エスゾピクロン,ルネスタ錠１ｍｇ,2,,,,
1129010F1036,エスゾピクロン,エスゾピクロン錠１ｍｇ「ＤＳＥＰ」,3,,,,
1129010F1044,エスゾピクロン,エスゾピクロン錠１ｍｇ「ＫＭＰ」,3,,,,
1129010F1052,エスゾピクロン,エスゾピクロン錠１ｍｇ「ＮＰＩ」,3,,,,
1129010F1060,エスゾピクロン,エスゾピクロン錠１ｍｇ「ＴＣＫ」,3,,,,
1129010F1087,エスゾピクロン,エスゾピクロン錠１ｍｇ「アメル」,3,,,,
1129010F1095,エスゾピクロン,エスゾピクロン錠１ｍｇ「杏林」,3,,,,
1129010F1109,エスゾピクロン,エスゾピクロン錠１ｍｇ「ケミファ」,3,,,,
1129010F1117,エスゾピクロン,エスゾピクロン錠１ｍｇ「サワイ」,3,,,,
1129010F1125,エスゾピクロン,エスゾピクロン錠１ｍｇ「トーワ」,3,,,,
1129010F1133,エスゾピクロン,エスゾピクロン錠１ｍｇ「日新」,3,,,,
1129010F1141,エスゾピクロン,エスゾピクロン錠１ｍｇ「ニプロ」,3,,,,
1129010F1150,エスゾピクロン,エスゾピクロン錠１ｍｇ「明治」,3,,,,
1129010F1168,エスゾピクロン,エスゾピクロン錠１ｍｇ「日医工」,3,,,,
1129010F2016,エスゾピクロン,エスゾピクロン２ｍｇ錠,3,,,,
1129010F2024,エスゾピクロン,ルネスタ錠２ｍｇ,2,,,,
1129010F2032,エスゾピクロン,エスゾピクロン錠２ｍｇ「ＤＳＥＰ」,3,,,,
1129010F2040,エスゾピクロン,エスゾピクロン錠２ｍｇ「ＫＭＰ」,3,,,,
1129010F2059,エスゾピクロン,エスゾピクロン錠２ｍｇ「ＮＰＩ」,3,,,,
1129010F2067,エスゾピクロン,エスゾピクロン錠２ｍｇ「ＴＣＫ」,3,,,,
1129010F2091,エスゾピクロン,エスゾピクロン錠２ｍｇ「杏林」,3,,,,
1129010F2105,エスゾピクロン,エスゾピクロン錠２ｍｇ「ケミファ」,3,,,,
1129010F2113,エスゾピクロン,エスゾピクロン錠２ｍｇ「サワイ」,3,,,,
1129010F2121,エスゾピクロン,エスゾピクロン錠２ｍｇ「トーワ」,3,,,,
1129010F2130,エスゾピクロン,エスゾピクロン錠２ｍｇ「日新」,3,,,,
1129010F2148,エスゾピクロン,エスゾピクロン錠２ｍｇ「ニプロ」,3,,,,
1129010F2156,エスゾピクロン,エスゾピクロン錠２ｍｇ「明治」,3,,,,
1129010F2164,エスゾピクロン,エスゾピクロン錠２ｍｇ「日医工」,3,,,,
1129010F3020,エスゾピクロン,ルネスタ錠３ｍｇ,2,,,,
1129010F3039,エスゾピクロン,エスゾピクロン錠３ｍｇ「ＤＳＥＰ」,3,,,,
1129010F3047,エスゾピクロン,エスゾピクロン錠３ｍｇ「ＫＭＰ」,3,,,,
1129010F3055,エスゾピクロン,エスゾピクロン錠３ｍｇ「ＮＰＩ」,3,,,,
1129010F3063,エスゾピクロン,エスゾピクロン錠３ｍｇ「ＴＣＫ」,3,,,,
1129010F3071,エスゾピクロン,エスゾピクロン錠３ｍｇ「ＹＤ」,3,,,,
1129010F3080,エスゾピクロン,エスゾピクロン錠３ｍｇ「アメル」,3,,,,
1129010F3098,エスゾピクロン,エスゾピクロン錠３ｍｇ「杏林」,3,,,,
1129010F3101,エスゾピクロン,エスゾピクロン錠３ｍｇ「ケミファ」,3,,,,
1129010F3110,エスゾピクロン,エスゾピクロン錠３ｍｇ「サワイ」,3,,,,
1129010F3128,エスゾピクロン,エスゾピクロン錠３ｍｇ「トーワ」,3,,,,
1129010F3136,エスゾピクロン,エスゾピクロン錠３ｍｇ「日新」,3,,,,
1129010F3144,エスゾピクロン,エスゾピクロン錠３ｍｇ「ニプロ」,3,,,,
1129010F3152,エスゾピクロン,エスゾピクロン錠３ｍｇ「明治」,3,,,,
1129010F3160,エスゾピクロン,エスゾピクロン錠３ｍｇ「日医工」,3,,,,
1131001A1038,アセチルフェネトライド,クランポール末,,,,,
1131001F1035,アセチルフェネトライド,クランポール錠２００ｍｇ,,,,,
1132001A1035,エトトイン,アクセノン末,,,,,
1132002B1019,フェニトイン,フェニトイン散,,,,,
1132002F1010,フェニトイン,フェニトイン錠,,,,,
1132002F1037,フェニトイン,アレビアチン錠２５ｍｇ,,,,,
1132002F2017,フェニトイン,フェニトイン錠,,,,,
1132002F2041,フェニトイン,アレビアチン錠１００ｍｇ,,,,,
1133002B1032,トリメタジオン,ミノアレ散６６．７％,,,,,
1135002C1059,プリミドン,プリミドン細粒９９．５％「日医工」,,,,,
1135002F1055,プリミドン,プリミドン錠２５０ｍｇ「日医工」,,,,,
1137001F1039,スルチアム,オスポロット錠５０ｍｇ,,,,,
1137001F2035,スルチアム,オスポロット錠２００ｍｇ,,,,,
1139001B1031,エトスクシミド,エピレオプチマル散５０％,,,,,
1139001Q1042,エトスクシミド,ザロンチンシロップ５％,,,,,
1139002C1066,カルバマゼピン,カルバマゼピン細粒５０％「アメル」,3,,,,
1139002C1082,カルバマゼピン,テグレトール細粒５０％,,,,,
1139002C1090,カルバマゼピン,カルバマゼピン細粒５０％「フジナガ」,3,,,,
1139002F1011,カルバマゼピン,カルバマゼピン２００ｍｇ錠,3,,,,
1139002F1062,カルバマゼピン,テグレトール錠２００ｍｇ,,,,,
1139002F2018,カルバマゼピン,カルバマゼピン１００ｍｇ錠,3,,,,
1139002F2026,カルバマゼピン,テグレトール錠１００ｍｇ,,,,,
1139003C1044,クロナゼパム,リボトリール細粒０．１％,1,,,,
1139003C1052,クロナゼパム,ランドセン細粒０．１％,1,,,,
1139003C2040,クロナゼパム,リボトリール細粒０．５％,1,,,,
1139003C2059,クロナゼパム,ランドセン細粒０．５％,1,,,,
1139003F1040,クロナゼパム,リボトリール錠０．５ｍｇ,1,,,,
1139003F1059,クロナゼパム,ランドセン錠０．５ｍｇ,1,,,,
1139003F2047,クロナゼパム,リボトリール錠１ｍｇ,1,,,,
1139003F2055,クロナゼパム,ランドセン錠１ｍｇ,1,,,,
1139003F3043,クロナゼパム,リボトリール錠２ｍｇ,1,,,,
1139003F3051,クロナゼパム,ランドセン錠２ｍｇ,1,,,,
1139004C1014,バルプロ酸ナトリウム,バルプロ酸ナトリウム２０％細粒,3,,,,
1139004C1057,バルプロ酸ナトリウム,デパケン細粒２０％,2,,,,
1139004C2010,バルプロ酸ナトリウム,バルプロ酸ナトリウム４０％細粒,3,,,,
1139004C2061,バルプロ酸ナトリウム,デパケン細粒４０％,2,,,,
1139004D1010,バルプロ酸ナトリウム,バルプロ酸ナトリウム４０％徐放顆粒,3,,,,
1139004D1052,バルプロ酸ナトリウム,セレニカＲ顆粒４０％,2,,,,
1139004F1010,バルプロ酸ナトリウム,バルプロ酸ナトリウム１００ｍｇ錠,3,,,,
1139004F1096,バルプロ酸ナトリウム,デパケン錠１００ｍｇ,2,,,,
1139004F2017,バルプロ酸ナトリウム,バルプロ酸ナトリウム２００ｍｇ錠,★,,,,
1139004F2173,バルプロ酸ナトリウム,デパケン錠２００ｍｇ,☆,,,,
1139004G1016,バルプロ酸ナトリウム,バルプロ酸ナトリウム１００ｍｇ徐放錠,3,,,,
1139004G1040,バルプロ酸ナトリウム,デパケンＲ錠１００ｍｇ,2,,,,
1139004G2012,バルプロ酸ナトリウム,バルプロ酸ナトリウム２００ｍｇ徐放錠,3,,,,
1139004G2039,バルプロ酸ナトリウム,セレニカＲ錠２００ｍｇ,2,,,,
1139004G2063,バルプロ酸ナトリウム,デパケンＲ錠２００ｍｇ,2,,,,
1139004G3027,バルプロ酸ナトリウム,セレニカＲ錠４００ｍｇ,2,,,,
1139004Q1011,バルプロ酸ナトリウム,バルプロ酸ナトリウム５％シロップ,3,,,,
1139004Q1100,バルプロ酸ナトリウム,デパケンシロップ５％,2,,,,
1139005B1013,ゾニサミド,ゾニサミド２０％散,3,,,,
1139005B1048,ゾニサミド,エクセグラン散２０％,2,,,,
1139005F1015,ゾニサミド,ゾニサミド１００ｍｇ錠,3,,,,
1139005F1023,ゾニサミド,エクセグラン錠１００ｍｇ,2,,,,
1139006C1030,クロバザム,マイスタン細粒１％,1,,,,
1139006F1028,クロバザム,マイスタン錠５ｍｇ,1,,,,
1139006F2024,クロバザム,マイスタン錠１０ｍｇ,1,,,,
1139007F1022,ガバペンチン,ガバペン錠２００ｍｇ,1,,,,
1139007F2029,ガバペンチン,ガバペン錠３００ｍｇ,1,,,,
1139007F3025,ガバペンチン,ガバペン錠４００ｍｇ,1,,,,
1139007Q1023,ガバペンチン,ガバペンシロップ５％,1,,,,
1139008C1020,トピラマート,トピナ細粒１０％,1,,,,
1139008F1027,トピラマート,トピナ錠５０ｍｇ,2,,,,
1139008F1035,トピラマート,トピラマート錠５０ｍｇ「アメル」,3,,,,
1139008F2023,トピラマート,トピナ錠１００ｍｇ,2,,,,
1139008F2031,トピラマート,トピラマート錠１００ｍｇ「アメル」,3,,,,
1139008F3020,トピラマート,トピナ錠２５ｍｇ,2,,,,
1139008F3038,トピラマート,トピラマート錠２５ｍｇ「アメル」,3,,,,
1139009F1013,ラモトリギン,ラモトリギン２ｍｇ錠,3,,,,
1139009F1021,ラモトリギン,ラミクタール錠小児用２ｍｇ,2,,,,
1139009F2028,ラモトリギン,ラミクタール錠小児用５ｍｇ,2,,,,
1139009F2036,ラモトリギン,ラモトリギン錠小児用５ｍｇ「サワイ」,3,,,,
1139009F2044,ラモトリギン,ラモトリギン錠小児用５ｍｇ「トーワ」,3,,,,
1139009F2052,ラモトリギン,ラモトリギン錠小児用５ｍｇ「日医工」,3,,,,
1139009F2060,ラモトリギン,ラモトリギン錠小児用５ｍｇ「ＪＧ」,3,,,,
1139009F2079,ラモトリギン,ラモトリギン錠小児用５ｍｇ「アメル」,3,,,,
1139009F3016,ラモトリギン,ラモトリギン２５ｍｇ錠,3,,,,
1139009F3024,ラモトリギン,ラミクタール錠２５ｍｇ,2,,,,
1139009F3032,ラモトリギン,ラモトリギン錠２５ｍｇ「ＪＧ」,3,,,,
1139009F3040,ラモトリギン,ラモトリギン錠２５ｍｇ「アメル」,3,,,,
1139009F3059,ラモトリギン,ラモトリギン錠２５ｍｇ「サワイ」,3,,,,
1139009F3067,ラモトリギン,ラモトリギン錠２５ｍｇ「トーワ」,3,,,,
1139009F4020,ラモトリギン,ラミクタール錠１００ｍｇ,2,,,,
1139009F4039,ラモトリギン,ラモトリギン錠１００ｍｇ「ＪＧ」,3,,,,
1139009F4047,ラモトリギン,ラモトリギン錠１００ｍｇ「アメル」,3,,,,
1139009F4055,ラモトリギン,ラモトリギン錠１００ｍｇ「サワイ」,3,,,,
1139009F4063,ラモトリギン,ラモトリギン錠１００ｍｇ「トーワ」,3,,,,
1139009F4071,ラモトリギン,ラモトリギン錠１００ｍｇ「日医工」,3,,,,
1139010F1024,レベチラセタム,イーケプラ錠２５０ｍｇ,2,,,,
1139010F1032,レベチラセタム,レベチラセタム錠２５０ｍｇ「ＪＧ」,3,,,,
1139010F1040,レベチラセタム,レベチラセタム錠２５０ｍｇ「ＶＴＲＳ」,3,,,,
1139010F1059,レベチラセタム,レベチラセタム錠２５０ｍｇ「アメル」,3,,,,
1139010F1067,レベチラセタム,レベチラセタム錠２５０ｍｇ「杏林」,3,,,,
1139010F1075,レベチラセタム,レベチラセタム錠２５０ｍｇ「サワイ」,3,,,,
1139010F1083,レベチラセタム,レベチラセタム錠２５０ｍｇ「タカタ」,3,,,,
1139010F1091,レベチラセタム,レベチラセタム錠２５０ｍｇ「トーワ」,3,,,,
1139010F1105,レベチラセタム,レベチラセタム錠２５０ｍｇ「日医工」,3,,,,
1139010F1113,レベチラセタム,レベチラセタム錠２５０ｍｇ「日新」,3,,,,
1139010F1121,レベチラセタム,レベチラセタム錠２５０ｍｇ「フェルゼン」,3,,,,
1139010F1130,レベチラセタム,レベチラセタム錠２５０ｍｇ「明治」,3,,,,
1139010F2020,レベチラセタム,イーケプラ錠５００ｍｇ,2,,,,
1139010F2039,レベチラセタム,レベチラセタム錠５００ｍｇ「ＪＧ」,3,,,,
1139010F2047,レベチラセタム,レベチラセタム錠５００ｍｇ「ＶＴＲＳ」,3,,,,
1139010F2055,レベチラセタム,レベチラセタム錠５００ｍｇ「アメル」,3,,,,
1139010F2063,レベチラセタム,レベチラセタム錠５００ｍｇ「杏林」,3,,,,
1139010F2071,レベチラセタム,レベチラセタム錠５００ｍｇ「サワイ」,3,,,,
1139010F2080,レベチラセタム,レベチラセタム錠５００ｍｇ「タカタ」,3,,,,
1139010F2098,レベチラセタム,レベチラセタム錠５００ｍｇ「トーワ」,3,,,,
1139010F2101,レベチラセタム,レベチラセタム錠５００ｍｇ「日医工」,3,,,,
