"薬価基準収載
医薬品コード",成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,"収載年月日(YYYYMMDD)
【例】
2014年4月1日
(20140401)",備考
1119402G2021,プロポフォール,１％ディプリバン注－キット,２,,
1119701G1076,イソフルラン,エスカイン吸入麻酔液,３,,
1119701G1084,イソフルラン,フォーレン吸入麻酔液,２,,
1119702G1038,セボフルラン,セボネス,３,,
1119702G1054,セボフルラン,セボフルラン吸入麻酔液「マイラン」,３,,
1119702G1062,セボフルラン,セボフレン吸入麻酔液,２,,
1119703G1024,デスフルラン,スープレン吸入麻酔液,１,,
1121001X1018,ブロモバレリル尿素,ブロモバレリル尿素,,,
1121001X1085,ブロモバレリル尿素,ブロムワレリル尿素「メタル」,,,
1121001X1131,ブロモバレリル尿素,ブロムワレリル尿素（山善）,,,
1121001X1204,ブロモバレリル尿素,ブロバリン原末,,,
1121001X1212,ブロモバレリル尿素,ブロモバレリル尿素「ヨシダ」,,,
1121001X1220,ブロモバレリル尿素,ブロムワレリル尿素「ＪＧ」,,,
1123001X1012,抱水クロラール,抱水クロラール,,,
1123700J1020,抱水クロラール,エスクレ坐剤「２５０」,１,,
1123700J2027,抱水クロラール,エスクレ坐剤「５００」,１,,
1123700X1023,抱水クロラール,エスクレ注腸用キット「５００」,１,,
1124001B1039,エスタゾラム,ユーロジン散１％,２,,
1124001F1022,エスタゾラム,ユーロジン１ｍｇ錠,２,,
1124001F1030,エスタゾラム,エスタゾラム錠１ｍｇ「アメル」,３,,
1124001F2029,エスタゾラム,ユーロジン２ｍｇ錠,２,,
1124001F2037,エスタゾラム,エスタゾラム錠２ｍｇ「アメル」,３,,
1124002M1042,フルラゼパム塩酸塩,ベノジールカプセル１０,１,,
1124002M2022,フルラゼパム塩酸塩,ダルメートカプセル１５,１,,
1124002M2049,フルラゼパム塩酸塩,ベノジールカプセル１５,１,,
1124003B1070,ニトラゼパム,ネルボン散１％,,,
1124003C1092,ニトラゼパム,ベンザリン細粒１％,,,
1124003C1106,ニトラゼパム,ネルロレン細粒１％,３,,
1124003C1114,ニトラゼパム,ニトラゼパム細粒１％「ＴＣＫ」,３,20141212,
1124003F1021,ニトラゼパム,ベンザリン錠２,,,
1124003F2176,ニトラゼパム,ネルロレン錠「５」,３,,
1124003F2184,ニトラゼパム,ノイクロニック錠５,３,,
1124003F2222,ニトラゼパム,ベンザリン錠５,,,
1124003F2230,ニトラゼパム,ネルボン錠５ｍｇ,,,
1124003F2249,ニトラゼパム,ニトラゼパム錠５ｍｇ「トーワ」,３,,
1124003F2257,ニトラゼパム,ヒルスカミン錠５ｍｇ,３,,
1124003F2265,ニトラゼパム,ニトラゼパム錠５ｍｇ「ＪＧ」,３,,
1124003F2273,ニトラゼパム,ニトラゼパム錠５ｍｇ「ツルハラ」,３,,
1124003F2281,ニトラゼパム,ニトラゼパム錠５ｍｇ「イセイ」,３,,
1124003F2290,ニトラゼパム,ニトラゼパム錠５ｍｇ「テバ」,３,,
1124003F2303,ニトラゼパム,ニトラゼパム錠５ｍｇ「ＴＣＫ」,３,20141212,
1124003F3016,ニトラゼパム,ニトラゼパム１０ｍｇ錠,３,,
1124003F3083,ニトラゼパム,ネルボン錠１０ｍｇ,,,
1124003F3121,ニトラゼパム,ベンザリン錠１０,,,
1124003F3156,ニトラゼパム,ニトラゼパム錠１０ｍｇ「ＪＧ」,３,,
1124004F1042,ニメタゼパム,エリミン錠３ｍｇ,１,,
1124004F2030,ニメタゼパム,エリミン錠５ｍｇ,１,,
1124005C1032,ハロキサゾラム,ソメリン細粒１％,１,,
1124005F1020,ハロキサゾラム,ソメリン錠５ｍｇ,１,,
1124005F2027,ハロキサゾラム,ソメリン錠１０ｍｇ,１,,
1124007F1020,トリアゾラム,ハルシオン０．１２５ｍｇ錠,２,,
1124007F1038,トリアゾラム,ハルラック錠０．１２５ｍｇ,３,,
1124007F1046,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「ＥＭＥＣ」,３,,
1124007F1070,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「ＪＧ」,３,,
1124007F1089,トリアゾラム,アスコマーナ錠０．１２５ｍｇ,３,,
1124007F1097,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「ＴＣＫ」,３,,
1124007F1100,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「タナベ」,３,,
1124007F1119,トリアゾラム,トリアラム錠０．１２５ｍｇ,３,,
1124007F1127,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「テバ」,３,,
1124007F1135,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「日医工」,３,,
1124007F1143,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「ＣＨ」,３,,
1124007F1151,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「ＫＮ」,３,20140620,
1124007F2026,トリアゾラム,ハルシオン０．２５ｍｇ錠,２,,
1124007F2042,トリアゾラム,アスコマーナ錠０．２５,３,,
1124007F2050,トリアゾラム,カムリトン０．２５ｍｇ錠,３,,
1124007F2107,トリアゾラム,ハルラック錠０．２５ｍｇ,３,,
1124007F2174,トリアゾラム,トリアラム錠０．２５ｍｇ,３,,
1124007F2182,トリアゾラム,トリアゾラム錠０．２５ｍｇ「ＪＧ」,３,,
1124007F2190,トリアゾラム,トリアゾラム錠０．２５ｍｇ「ＥＭＥＣ」,３,,
1124007F2204,トリアゾラム,トリアゾラム錠０．２５ｍｇ「ＴＣＫ」,３,,
1124007F2212,トリアゾラム,トリアゾラム錠０．２５ｍｇ「タナベ」,３,,
1124007F2220,トリアゾラム,トリアゾラム錠０．２５ｍｇ「テバ」,３,,
1124007F2239,トリアゾラム,トリアゾラム錠０．２５ｍｇ「日医工」,３,,
1124007F2247,トリアゾラム,トリアゾラム錠０．２５ｍｇ「ＣＨ」,３,,
1124007F2255,トリアゾラム,トリアゾラム錠０．２５ｍｇ「ＫＮ」,３,20140620,
1124008F1024,フルニトラゼパム,サイレース錠１ｍｇ,２,,
1124008F1032,フルニトラゼパム,ロヒプノール錠１,２,,
1124008F1040,フルニトラゼパム,ビビットエース錠１ｍｇ,３,,
1124008F1059,フルニトラゼパム,フルトラース錠１ｍｇ,３,,
1124008F1067,フルニトラゼパム,フルニトラゼパム錠１ｍｇ「アメル」,３,,
1124008F1075,フルニトラゼパム,フルニトラゼパム錠１ｍｇ「ＪＧ」,３,,
1124008F1083,フルニトラゼパム,フルニトラゼパム錠１ｍｇ「ＳＮ」,３,20140620,
1124008F1091,フルニトラゼパム,フルニトラゼパム錠１ｍｇ「ＴＣＫ」,３,20141212,
1124008F2012,フルニトラゼパム,フルニトラゼパム２ｍｇ錠,３,,
1124008F2020,フルニトラゼパム,サイレース錠２ｍｇ,２,,
1124008F2039,フルニトラゼパム,ロヒプノール錠２,２,,
1124009F1010,ブロチゾラム,ブロチゾラム０．２５ｍｇ錠（１）,３,,
1124009F1037,ブロチゾラム,グッドミン錠０．２５ｍｇ,３,,
1124009F1070,ブロチゾラム,ノクスタール錠０．２５ｍｇ,３,,
1124009F1185,ブロチゾラム,ブロチゾラムＭ錠０．２５「ＥＭＥＣ」,３,,
1124009F1207,ブロチゾラム,ブロメトン錠０．２５ｍｇ,３,,
1124009F1223,ブロチゾラム,レンドルミン錠０．２５ｍｇ,２,,
1124009F1312,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「サワイ」,３,,
1124009F2017,ブロチゾラム,ブロチゾラム０．２５ｍｇ錠（２）,３,,
1124009F2025,ブロチゾラム,レンドルミンＤ錠０．２５ｍｇ,２,,
1124009F2076,ブロチゾラム,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,３,,
1124009F3030,ブロチゾラム,ブロチゾラム錠０．１２５ｍｇ「ＮＰ」,３,,
1124010F1021,ロルメタゼパム,エバミール錠１．０,１,,
1124010F1030,ロルメタゼパム,ロラメット錠１．０,１,,
1124013B1031,オキサゾラム,セレナール散１０％,２,,
1124013C1010,オキサゾラム,オキサゾラム１０％細粒,３,,
1124013F1033,オキサゾラム,セレナール錠５,２,,
1124013F2064,オキサゾラム,セレナール錠１０,２,,
1124014B1036,クロキサゾラム,セパゾン散１％,１,,
1124014F1038,クロキサゾラム,セパゾン錠１,１,,
1124014F2034,クロキサゾラム,セパゾン錠２,１,,
1124015M2038,クロラゼプ酸二カリウム,メンドンカプセル７．５ｍｇ,１,,
1124017B1129,ジアゼパム,セルシン散１％,,,
1124017B1137,ジアゼパム,ジアゼパム散１％「アメル」,３,,
1124017B1145,ジアゼパム,ホリゾン散１％,,,
1124017F2046,ジアゼパム,ジアゼパム錠２「サワイ」,３,,
1124017F2054,ジアゼパム,ジアゼパム錠２「トーワ」,３,,
1124017F2089,ジアゼパム,ジアパックス錠２ｍｇ,３,,
1124017F2100,ジアゼパム,セレナミン錠２ｍｇ,３,,
1124017F2135,ジアゼパム,２ｍｇセルシン錠,,,
1124017F2151,ジアゼパム,ホリゾン錠２ｍｇ,,,
1124017F2194,ジアゼパム,ジアゼパム錠２ｍｇ「アメル」,３,,
1124017F2216,ジアゼパム,ジアゼパム錠２ｍｇ「ツルハラ」,３,,
1124017F4049,ジアゼパム,５ｍｇセルシン錠,,,
1124017F4065,ジアゼパム,ジアゼパム錠５「トーワ」,３,,
1124017F4090,ジアゼパム,ジアパックス錠５ｍｇ,３,,
1124017F4111,ジアゼパム,セレナミン錠５ｍｇ,３,,
1124017F4162,ジアゼパム,ホリゾン錠５ｍｇ,,,
1124017F4200,ジアゼパム,ジアゼパム錠５ｍｇ「アメル」,３,,
1124017F4219,ジアゼパム,ジアゼパム錠５ｍｇ「ツルハラ」,３,,
1124017F5010,ジアゼパム,ジアゼパム１０ｍｇ錠,３,,
1124017F5037,ジアゼパム,１０ｍｇセルシン錠,,,
1124017Q1032,ジアゼパム,セルシンシロップ０．１％,,,
1124019C1034,フルジアゼパム,エリスパン細粒０．１％,１,,
1124019F1030,フルジアゼパム,エリスパン錠０．２５ｍｇ,１,,
1124020C1045,ブロマゼパム,レキソタン細粒１％,２,,
1124020C1053,ブロマゼパム,セニラン細粒１％,３,,
1124020F1025,ブロマゼパム,レキソタン錠１,☆,,
1124020F1033,ブロマゼパム,セニラン錠１ｍｇ,★,,
1124020F2030,ブロマゼパム,レキソタン錠２,２,,
1124020F2048,ブロマゼパム,セニラン錠２ｍｇ,３,,
1124020F3036,ブロマゼパム,セニラン錠３ｍｇ,３,,
1124020F4032,ブロマゼパム,レキソタン錠５,２,,
1124020F4040,ブロマゼパム,セニラン錠５ｍｇ,３,,
1124021F1046,メダゼパム,メダゼパム錠２（ツルハラ）,★,,
1124021F1054,メダゼパム,レスミット錠２,☆,,
1124021F2123,メダゼパム,メダゼパム錠５（ツルハラ）,★,,
1124021F2166,メダゼパム,レスミット錠５,☆,,
1124022F1067,ロラゼパム,ワイパックス錠０．５,２,,
1124022F1075,ロラゼパム,ユーパン錠０．５ｍｇ,３,,
1124022F1083,ロラゼパム,ロラゼパム錠０．５ｍｇ「サワイ」,３,,
1124022F2071,ロラゼパム,ワイパックス錠１．０,２,,
1124022F2101,ロラゼパム,ユーパン錠１．０ｍｇ,３,,
1124022F2110,ロラゼパム,ロラゼパム錠１ｍｇ「サワイ」,３,,
1124023F1029,アルプラゾラム,コンスタン０．４ｍｇ錠,２,,
1124023F1037,アルプラゾラム,ソラナックス０．４ｍｇ錠,２,,
1124023F1053,アルプラゾラム,メデポリン錠０．４,３,,
1124023F1096,アルプラゾラム,カームダン錠０．４ｍｇ,３,,
1124023F1100,アルプラゾラム,アルプラゾラム錠０．４ｍｇ「トーワ」,３,,
1124023F1118,アルプラゾラム,アルプラゾラム錠０．４ｍｇ「サワイ」,３,20140620,
1124023F2025,アルプラゾラム,コンスタン０．８ｍｇ錠,２,,
1124023F2033,アルプラゾラム,ソラナックス０．８ｍｇ錠,２,,
1124023F2041,アルプラゾラム,カームダン錠０．８ｍｇ,３,,
1124023F2050,アルプラゾラム,アルプラゾラム錠０．８ｍｇ「トーワ」,３,,
1124023F2068,アルプラゾラム,メデポリン錠０．８,３,,
1124023F2076,アルプラゾラム,アルプラゾラム錠０．８ｍｇ「サワイ」,３,20140620,
1124024C1035,フルタゾラム,コレミナール細粒１％,１,,
1124024F1031,フルタゾラム,コレミナール錠４ｍｇ,１,,
1124025C1030,メキサゾラム,メレックス細粒０．１％,１,,
1124025F1028,メキサゾラム,メレックス錠０．５ｍｇ,１,,
1124025F2024,メキサゾラム,メレックス錠１ｍｇ,１,,
1124026C1085,トフィソパム,グランダキシン細粒１０％,２,,
1124026C1093,トフィソパム,ツルベール細粒１０％,３,,
1124026C1107,トフィソパム,トフィソパム細粒１０％「ＣＨ」,３,,
1124026C1115,トフィソパム,トフィソパム細粒１０％「ツルハラ」,３,20140620,
1124026F1022,トフィソパム,グランダキシン錠５０,２,,
1124026F1030,トフィソパム,エマンダキシン錠５０ｍｇ,３,,
1124026F1111,トフィソパム,トフィルシン錠５０,３,,
1124026F1120,トフィソパム,トルバナシン錠５０,３,,
1124026F1219,トフィソパム,グランパム錠５０ｍｇ,３,,
1124026F1235,トフィソパム,トロンヘイム錠５０ｍｇ,３,,
1124026F1243,トフィソパム,バイダキシン錠５０ｍｇ,３,,
1124026F1251,トフィソパム,トフィス錠５０ｍｇ,３,,
1124026F1294,トフィソパム,トフィソパム錠５０ｍｇ「ＪＧ」,３,,
1124026F1308,トフィソパム,トフィソパム錠５０ｍｇ「杏林」,３,,
1124026F1316,トフィソパム,トフィソパム錠５０ｍｇ「オーハラ」,３,,
1124026F1324,トフィソパム,トフィソパム錠５０ｍｇ「日医工」,３,,
1124027F1035,フルトプラゼパム,レスタス錠２ｍｇ,１,,
1124028B1011,クロルジアゼポキシド,クロルジアゼポキシド散,,,
1124028B1046,クロルジアゼポキシド,コントール散１％,,,
1124028B2018,クロルジアゼポキシド,クロルジアゼポキシド散,,,
1124028F1013,クロルジアゼポキシド,クロルジアゼポキシド錠,,,
1124028F2010,クロルジアゼポキシド,クロルジアゼポキシド錠,,,
1124029C1038,ロフラゼプ酸エチル,メイラックス細粒１％,２,,
1124029F1026,ロフラゼプ酸エチル,メイラックス錠１ｍｇ,２,,
1124029F1042,ロフラゼプ酸エチル,スカルナーゼ錠１ｍｇ,３,,
1124029F1069,ロフラゼプ酸エチル,ロンラックス錠１ｍｇ,３,,
1124029F1085,ロフラゼプ酸エチル,ジメトックス錠１,３,,
1124029F1123,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠１ｍｇ「サワイ」,３,,
1124029F1131,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠１ｍｇ「トーワ」,３,20140620,
1124029F1140,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠１ｍｇ「ＳＮ」,３,20141212,
1124029F2014,ロフラゼプ酸エチル,ロフラゼプ酸エチル２ｍｇ錠,３,,
1124029F2022,ロフラゼプ酸エチル,メイラックス錠２ｍｇ,２,,
1124029F2090,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠２ｍｇ「サワイ」,３,,
1124030F1029,クアゼパム,ドラール錠１５,２,,
1124030F1037,クアゼパム,クアゼパム錠１５ｍｇ「ＭＮＰ」,３,,
1124030F1045,クアゼパム,クアゼパム錠１５ｍｇ「ＹＤ」,３,,
1124030F1053,クアゼパム,クアゼパム錠１５ｍｇ「アメル」,３,,
1124030F1061,クアゼパム,クアゼパム錠１５ｍｇ「トーワ」,３,,
1124030F1070,クアゼパム,クアゼパム錠１５ｍｇ「日医工」,３,,
1124030F1088,クアゼパム,クアゼパム錠１５ｍｇ「サワイ」,３,,
1124030F2025,クアゼパム,ドラール錠２０,２,,
1124030F2033,クアゼパム,クアゼパム錠２０ｍｇ「ＭＮＰ」,３,,
1124030F2041,クアゼパム,クアゼパム錠２０ｍｇ「ＹＤ」,３,,
1124030F2050,クアゼパム,クアゼパム錠２０ｍｇ「トーワ」,３,,
1124030F2068,クアゼパム,クアゼパム錠２０ｍｇ「アメル」,３,,
1124030F2076,クアゼパム,クアゼパム錠２０ｍｇ「サワイ」,３,,
1124030F2084,クアゼパム,クアゼパム錠２０ｍｇ「日医工」,３,,
1124400A1040,フルニトラゼパム,ロヒプノール静注用２ｍｇ,１,,
1124400A1058,フルニトラゼパム,サイレース静注２ｍｇ,１,,
1124401A1052,ミダゾラム,ドルミカム注射液１０ｍｇ,２,,
1124401A1060,ミダゾラム,ミダゾラム注１０ｍｇ「サンド」,３,,
1124401A1079,ミダゾラム,ミダゾラム注射液１０ｍｇ「タイヨー」,３,,
1124402A1030,ジアゼパム,セルシン注射液５ｍｇ,２,,
1124402A1049,ジアゼパム,ジアゼパム注射液５ｍｇ「タイヨー」,３,,
1124402A2045,ジアゼパム,ホリゾン注射液１０ｍｇ,２,,
1124402A2053,ジアゼパム,セルシン注射液１０ｍｇ,２,,
1124402A2061,ジアゼパム,ジアゼパム注射液１０ｍｇ「タイヨー」,３,,
1124700J1036,ブロマゼパム,セニラン坐剤３ｍｇ,１,,
1124701J1022,ジアゼパム,ダイアップ坐剤４,１,,
1124701J2029,ジアゼパム,ダイアップ坐剤６,１,,
1124701J3025,ジアゼパム,ダイアップ坐剤１０,１,,
1125001X1017,アモバルビタール,アモバルビタール,,,
1125002X1011,バルビタール,バルビタール,,,
1125003B2015,フェノバルビタール,フェノバルビタール散１０％,,,
1125003B2031,フェノバルビタール,フェノバール散１０％,,,
1125003B2139,フェノバルビタール,フェノバルビタール散１０％「マルイシ」,,,
1125003B2163,フェノバルビタール,フェノバルビタール散１０％「シオエ」,,,
1125003X1016,フェノバルビタール,フェノバルビタール,,,
1125003X1091,フェノバルビタール,フェノバルビタール「ホエイ」,,,
1125003X1156,フェノバルビタール,フェノバール原末,,,
1125004F1023,フェノバルビタール,フェノバール錠３０ｍｇ,,,
1125004S1030,フェノバルビタール,フェノバールエリキシル０．４％,,,
1125006F1030,ペントバルビタールカルシウム,ラボナ錠５０ｍｇ,,,
1125401D2028,セコバルビタールナトリウム,注射用アイオナール・ナトリウム（０．２）,,,
1125402A1054,フェノバルビタール,フェノバール注射液１００ｍｇ,,,
1125700J1025,フェノバルビタールナトリウム,ワコビタール坐剤１５,１,,
1125700J2021,フェノバルビタールナトリウム,ルピアール坐剤２５,１,,
1125700J3028,フェノバルビタールナトリウム,ワコビタール坐剤３０,１,,
1125700J4024,フェノバルビタールナトリウム,ルピアール坐剤５０,１,,
1125700J4032,フェノバルビタールナトリウム,ワコビタール坐剤５０,１,,
1125700J5020,フェノバルビタールナトリウム,ルピアール坐剤１００,１,,
1125700J5039,フェノバルビタールナトリウム,ワコビタール坐剤１００,１,,
1126001X1014,臭化カリウム,臭化カリウム,,,
1126002X1019,臭化ナトリウム,臭化ナトリウム,,,
1129004Q1031,トリクロホスナトリウム,トリクロリールシロップ１０％,,,
1129006F1021,リルマザホン塩酸塩水和物,リスミー錠１ｍｇ,２,,
1129006F1030,リルマザホン塩酸塩水和物,塩酸リルマザホン錠１「ＭＥＥＫ」,３,,
1129006F2028,リルマザホン塩酸塩水和物,リスミー錠２ｍｇ,２,,
1129006F2036,リルマザホン塩酸塩水和物,塩酸リルマザホン錠２「ＭＥＥＫ」,３,,
1129007F1018,ゾピクロン,ゾピクロン７．５ｍｇ錠,３,,
1129007F1026,ゾピクロン,アモバン錠７．５,２,,
1129007F1034,ゾピクロン,アモバンテス錠７．５,３,,
1129007F1077,ゾピクロン,ドパリール錠７．５,３,,
1129007F1085,ゾピクロン,メトローム錠７．５,３,,
1129007F1107,ゾピクロン,ゾピクロン錠７．５ｍｇ「トーワ」,３,,
1129007F1123,ゾピクロン,ゾピクロン錠７．５ｍｇ「サワイ」,３,,
1129007F1131,ゾピクロン,ゾピクロン錠７．５ｍｇ「ＴＣＫ」,３,20141212,
1129007F2014,ゾピクロン,ゾピクロン１０ｍｇ錠,３,,
1129007F2022,ゾピクロン,アモバン錠１０,２,,
1129007F2081,ゾピクロン,アモバンテス錠１０,３,,
1129007F2103,ゾピクロン,ゾピクロン錠１０ｍｇ「サワイ」,３,,
1129008F1039,タンドスピロンクエン酸塩,セディール錠５ｍｇ,２,,
1129008F1047,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠５ｍｇ「アメル」,３,,
1129008F1055,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠５ｍｇ「サワイ」,３,,
1129008F1063,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠５ｍｇ「トーワ」,３,,
1129008F1071,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠５ｍｇ「日医工」,３,,
1129008F2035,タンドスピロンクエン酸塩,セディール錠１０ｍｇ,２,,
1129008F2043,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠１０ｍｇ「トーワ」,３,,
1129008F2051,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠１０ｍｇ「アメル」,３,,
1129008F2060,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠１０ｍｇ「サワイ」,３,,
1129008F2078,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠１０ｍｇ「日医工」,３,,
1129008F3023,タンドスピロンクエン酸塩,セディール錠２０ｍｇ,２,,
1129008F3031,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠２０ｍｇ「トーワ」,３,,
1129008F3040,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠２０ｍｇ「アメル」,３,,
1129008F3058,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠２０ｍｇ「サワイ」,３,,
1129008F3066,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠２０ｍｇ「日医工」,３,,
1129009F1025,ゾルピデム酒石酸塩,マイスリー錠５ｍｇ,２,,
1129009F1033,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＡＡ」,３,,
1129009F1041,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＡＦＰ」,３,,
1129009F1050,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＤＫ」,３,,
1129009F1068,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＤＳＥＰ」,３,,
1129009F1076,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＤＳＰ」,３,,
1129009F1084,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＥＥ」,３,,
1129009F1092,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「Ｆ」,３,,
1129009F1106,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＦＦＰ」,３,,
1129009F1114,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＪＧ」,３,,
1129009F1122,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＫＮ」,３,,
1129009F1130,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＫＯＧ」,３,,
1129009F1149,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＮＰ」,３,,
1129009F1157,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＳＮ」,３,,
1129009F1165,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＴＣＫ」,３,,
1129009F1173,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＹＤ」,３,,
1129009F1181,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＺＥ」,３,,
1129009F1190,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＺＪ」,３,,
1129009F1203,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「アメル」,３,,
1129009F1211,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「オーハラ」,３,,
1129009F1220,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「杏林」,３,,
1129009F1238,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ケミファ」,３,,
1129009F1246,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「サワイ」,３,,
1129009F1254,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「サンド」,３,,
