薬価基準収載医薬品コード,成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,収載年月日,経過措置による使用期限,備考
1123700J1020,抱水クロラール,エスクレ坐剤「２５０」,1,,,
1123700J2027,抱水クロラール,エスクレ坐剤「５００」,1,,,
1123700X1023,抱水クロラール,エスクレ注腸用キット「５００」,1,,,
1124001B1039,エスタゾラム,ユーロジン散１％,1,,,
1124001F1022,エスタゾラム,ユーロジン１ｍｇ錠,2,,,
1124001F1030,エスタゾラム,エスタゾラム錠１ｍｇ「アメル」,3,,,
1124001F2029,エスタゾラム,ユーロジン２ｍｇ錠,2,,,
1124001F2037,エスタゾラム,エスタゾラム錠２ｍｇ「アメル」,3,,,
1124002M2022,フルラゼパム塩酸塩,ダルメートカプセル１５,1,,,
1124003B1070,ニトラゼパム,ネルボン散１％,,,,
1124003C1092,ニトラゼパム,ベンザリン細粒１％,,,,
1124003C1114,ニトラゼパム,ニトラゼパム細粒１％「ＴＣＫ」,3,,,
1124003F1021,ニトラゼパム,ベンザリン錠２,,,,
1124003F2222,ニトラゼパム,ベンザリン錠５,,,,
1124003F2230,ニトラゼパム,ネルボン錠５ｍｇ,,,,
1124003F2249,ニトラゼパム,ニトラゼパム錠５ｍｇ「トーワ」,3,,,
1124003F2265,ニトラゼパム,ニトラゼパム錠５ｍｇ「ＪＧ」,3,,,
1124003F2273,ニトラゼパム,ニトラゼパム錠５ｍｇ「ツルハラ」,3,,,
1124003F2281,ニトラゼパム,ニトラゼパム錠５ｍｇ「イセイ」,3,,,
1124003F2290,ニトラゼパム,ニトラゼパム錠５ｍｇ「テバ」,3,,,
1124003F2303,ニトラゼパム,ニトラゼパム錠５ｍｇ「ＴＣＫ」,3,,,
1124003F3016,ニトラゼパム,ニトラゼパム１０ｍｇ錠,3,,,
1124003F3083,ニトラゼパム,ネルボン錠１０ｍｇ,,,,
1124003F3121,ニトラゼパム,ベンザリン錠１０,,,,
1124003F3156,ニトラゼパム,ニトラゼパム錠１０ｍｇ「ＪＧ」,3,,,
1124003F3172,ニトラゼパム,ニトラゼパム錠１０ｍｇ「ＴＣＫ」,3,,,
1124005C1032,ハロキサゾラム,ソメリン細粒１％,1,,,
1124005F1020,ハロキサゾラム,ソメリン錠５ｍｇ,1,,,
1124005F2027,ハロキサゾラム,ソメリン錠１０ｍｇ,1,,,
1124007F1020,トリアゾラム,ハルシオン０．１２５ｍｇ錠,2,,,
1124007F1038,トリアゾラム,ハルラック錠０．１２５ｍｇ,3,,,
1124007F1046,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「ＥＭＥＣ」,3,,,
1124007F1070,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「ＪＧ」,3,,,
1124007F1097,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「ＴＣＫ」,3,,,
1124007F1127,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「テバ」,3,,,
1124007F1135,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「日医工」,3,,,
1124007F1143,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「ＣＨ」,3,,,
1124007F1151,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「ＫＮ」,3,,,
1124007F1160,トリアゾラム,トリアゾラム錠０．１２５ｍｇ「日新」,3,,,
1124007F2026,トリアゾラム,ハルシオン０．２５ｍｇ錠,2,,,
1124007F2107,トリアゾラム,ハルラック錠０．２５ｍｇ,3,,,
1124007F2182,トリアゾラム,トリアゾラム錠０．２５ｍｇ「ＪＧ」,3,,,
1124007F2190,トリアゾラム,トリアゾラム錠０．２５ｍｇ「ＥＭＥＣ」,3,,,
1124007F2204,トリアゾラム,トリアゾラム錠０．２５ｍｇ「ＴＣＫ」,3,,,
1124007F2220,トリアゾラム,トリアゾラム錠０．２５ｍｇ「テバ」,3,,,
1124007F2239,トリアゾラム,トリアゾラム錠０．２５ｍｇ「日医工」,3,,,
1124007F2247,トリアゾラム,トリアゾラム錠０．２５ｍｇ「ＣＨ」,3,,,
1124007F2255,トリアゾラム,トリアゾラム錠０．２５ｍｇ「ＫＮ」,3,,,
1124007F2263,トリアゾラム,トリアゾラム錠０．２５ｍｇ「日新」,3,,,
1124008F1024,フルニトラゼパム,サイレース錠１ｍｇ,2,,,
1124008F1032,フルニトラゼパム,ロヒプノール錠１,2,,H31.3.31まで,
1124008F1067,フルニトラゼパム,フルニトラゼパム錠１ｍｇ「アメル」,3,,,
1124008F1075,フルニトラゼパム,フルニトラゼパム錠１ｍｇ「ＪＧ」,3,,,
1124008F1091,フルニトラゼパム,フルニトラゼパム錠１ｍｇ「ＴＣＫ」,3,,,
1124008F2020,フルニトラゼパム,サイレース錠２ｍｇ,2,,,
1124008F2039,フルニトラゼパム,ロヒプノール錠２,2,,H31.3.31まで,
1124008F2047,フルニトラゼパム,フルニトラゼパム錠２ｍｇ「アメル」,3,,,
1124008F2071,フルニトラゼパム,フルニトラゼパム錠２ｍｇ「ＪＧ」,3,,,
1124008F2098,フルニトラゼパム,フルニトラゼパム錠２ｍｇ「ＴＣＫ」,3,,,
1124009F1070,ブロチゾラム,ノクスタール錠０．２５ｍｇ,3,,,
1124009F1185,ブロチゾラム,ブロチゾラムＭ錠０．２５「ＥＭＥＣ」,3,,,
1124009F1193,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「ＹＤ」,3,,,
1124009F1223,ブロチゾラム,レンドルミン錠０．２５ｍｇ,2,,,
1124009F1240,ブロチゾラム,ソレントミン錠０．２５ｍｇ,3,,H31.3.31まで,
1124009F1282,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「ＣＨ」,3,,,
1124009F1290,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「ＪＧ」,3,,,
1124009F1304,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「オーハラ」,3,,,
1124009F1312,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「サワイ」,3,,,
1124009F1320,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「ＮＰ」,3,,,
1124009F1339,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「アメル」,3,,,
1124009F1347,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「トーワ」,3,,,
1124009F1355,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「日医工」,3,,,
1124009F1363,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「日新」,3,,,
1124009F1371,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「テバ」,3,,,
1124009F1380,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「ＴＣＫ」,3,,,
1124009F1398,ブロチゾラム,ブロチゾラム錠０．２５ｍｇ「ヨシトミ」,3,,,
1124009F2025,ブロチゾラム,レンドルミンＤ錠０．２５ｍｇ,2,,,
1124009F2068,ブロチゾラム,ブロチゾラムＯＤ錠０．２５ｍｇ「ＪＧ」,3,,,
1124009F2076,ブロチゾラム,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,3,,,
1124009F2084,ブロチゾラム,ブロチゾラムＯＤ錠０．２５ｍｇ「アメル」,3,,,
1124009F2092,ブロチゾラム,ブロチゾラムＯＤ錠０．２５ｍｇ「テバ」,3,,,
1124009F3030,ブロチゾラム,ブロチゾラム錠０．１２５ｍｇ「ＮＰ」,3,,,
1124010F1021,ロルメタゼパム,エバミール錠１．０,1,,,
1124010F1030,ロルメタゼパム,ロラメット錠１．０,1,,,
1124013B1031,オキサゾラム,セレナール散１０％,1,,,
1124013F1033,オキサゾラム,セレナール錠５,1,,,
1124013F2064,オキサゾラム,セレナール錠１０,1,,,
1124014B1036,クロキサゾラム,セパゾン散１％,1,,,
1124014F1038,クロキサゾラム,セパゾン錠１,1,,,
1124014F2034,クロキサゾラム,セパゾン錠２,1,,,
1124015M2038,クロラゼプ酸二カリウム,メンドンカプセル７．５ｍｇ,1,,,
1124017B1129,ジアゼパム,セルシン散１％,,,,
1124017B1137,ジアゼパム,ジアゼパム散１％「アメル」,3,,,
1124017B1145,ジアゼパム,ホリゾン散１％,,,,
1124017F2046,ジアゼパム,ジアゼパム錠２「サワイ」,3,,,
1124017F2054,ジアゼパム,ジアゼパム錠２「トーワ」,3,,,
1124017F2089,ジアゼパム,ジアパックス錠２ｍｇ,3,,,
1124017F2135,ジアゼパム,２ｍｇセルシン錠,,,,
1124017F2151,ジアゼパム,ホリゾン錠２ｍｇ,,,,
1124017F2194,ジアゼパム,ジアゼパム錠２ｍｇ「アメル」,3,,,
1124017F2216,ジアゼパム,ジアゼパム錠２ｍｇ「ツルハラ」,3,,,
1124017F4049,ジアゼパム,５ｍｇセルシン錠,,,,
1124017F4065,ジアゼパム,ジアゼパム錠５「トーワ」,3,,,
1124017F4090,ジアゼパム,ジアパックス錠５ｍｇ,3,,,
1124017F4162,ジアゼパム,ホリゾン錠５ｍｇ,,,,
1124017F4200,ジアゼパム,ジアゼパム錠５ｍｇ「アメル」,3,,,
1124017F4219,ジアゼパム,ジアゼパム錠５ｍｇ「ツルハラ」,3,,,
1124017F5037,ジアゼパム,１０ｍｇセルシン錠,,,,
1124017F5096,ジアゼパム,ジアゼパム錠１０ｍｇ「ツルハラ」,3,,,
1124017Q1032,ジアゼパム,セルシンシロップ０．１％,,,,
1124019F1030,フルジアゼパム,エリスパン錠０．２５ｍｇ,1,,,
1124020C1045,ブロマゼパム,レキソタン細粒１％,2,,,
1124020C1053,ブロマゼパム,セニラン細粒１％,3,,,
1124020F1025,ブロマゼパム,レキソタン錠１,☆,,,
1124020F1033,ブロマゼパム,セニラン錠１ｍｇ,★,,,
1124020F2030,ブロマゼパム,レキソタン錠２,2,,,
1124020F2048,ブロマゼパム,セニラン錠２ｍｇ,3,,,
1124020F3036,ブロマゼパム,セニラン錠３ｍｇ,3,,,
1124020F4032,ブロマゼパム,レキソタン錠５,2,,,
1124020F4040,ブロマゼパム,セニラン錠５ｍｇ,3,,,
1124021F1046,メダゼパム,メダゼパム錠２（ツルハラ）,★,,,
1124021F1054,メダゼパム,レスミット錠２,☆,,,
1124021F2123,メダゼパム,メダゼパム錠５（ツルハラ）,★,,,
1124021F2166,メダゼパム,レスミット錠５,☆,,,
1124022F1067,ロラゼパム,ワイパックス錠０．５,2,,,
1124022F1083,ロラゼパム,ロラゼパム錠０．５ｍｇ「サワイ」,3,,,
1124022F2071,ロラゼパム,ワイパックス錠１．０,2,,,
1124022F2110,ロラゼパム,ロラゼパム錠１ｍｇ「サワイ」,3,,,
1124023F1029,アルプラゾラム,コンスタン０．４ｍｇ錠,2,,,
1124023F1037,アルプラゾラム,ソラナックス０．４ｍｇ錠,2,,,
1124023F1100,アルプラゾラム,アルプラゾラム錠０．４ｍｇ「トーワ」,3,,,
1124023F1118,アルプラゾラム,アルプラゾラム錠０．４ｍｇ「サワイ」,3,,,
1124023F1126,アルプラゾラム,アルプラゾラム錠０．４ｍｇ「アメル」,3,,,
1124023F2025,アルプラゾラム,コンスタン０．８ｍｇ錠,2,,,
1124023F2033,アルプラゾラム,ソラナックス０．８ｍｇ錠,2,,,
1124023F2050,アルプラゾラム,アルプラゾラム錠０．８ｍｇ「トーワ」,3,,,
1124023F2076,アルプラゾラム,アルプラゾラム錠０．８ｍｇ「サワイ」,3,,,
1124023F2084,アルプラゾラム,アルプラゾラム錠０．８ｍｇ「アメル」,3,,,
1124024C1035,フルタゾラム,コレミナール細粒１％,1,,,
1124024F1031,フルタゾラム,コレミナール錠４ｍｇ,1,,,
1124025C1030,メキサゾラム,メレックス細粒０．１％,1,,,
1124025F1028,メキサゾラム,メレックス錠０．５ｍｇ,1,,,
1124025F2024,メキサゾラム,メレックス錠１ｍｇ,1,,,
1124026C1085,トフィソパム,グランダキシン細粒１０％,2,,,
1124026C1107,トフィソパム,トフィソパム細粒１０％「ＣＨ」,3,,,
1124026C1115,トフィソパム,トフィソパム細粒１０％「ツルハラ」,3,,,
1124026F1022,トフィソパム,グランダキシン錠５０,2,,,
1124026F1219,トフィソパム,グランパム錠５０ｍｇ,3,,H30.9.30まで,
1124026F1324,トフィソパム,トフィソパム錠５０ｍｇ「日医工」,3,,,
1124026F1332,トフィソパム,トフィソパム錠５０ｍｇ「サワイ」,3,,,
1124026F1340,トフィソパム,トフィソパム錠５０ｍｇ「トーワ」,3,,,
1124027F1035,フルトプラゼパム,レスタス錠２ｍｇ,1,,,
1124028B1011,クロルジアゼポキシド,クロルジアゼポキシド散,,,,
1124028B1046,クロルジアゼポキシド,コントール散１％,,,,
1124028B2018,クロルジアゼポキシド,クロルジアゼポキシド散,,,,
1124028F1013,クロルジアゼポキシド,クロルジアゼポキシド錠,,,,
1124028F2010,クロルジアゼポキシド,クロルジアゼポキシド錠,,,,
1124029C1038,ロフラゼプ酸エチル,メイラックス細粒１％,1,,,
1124029F1026,ロフラゼプ酸エチル,メイラックス錠１ｍｇ,2,,,
1124029F1085,ロフラゼプ酸エチル,ジメトックス錠１,3,,H31.3.31まで,
1124029F1123,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠１ｍｇ「サワイ」,3,,,
1124029F1131,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠１ｍｇ「トーワ」,3,,,
1124029F1140,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠１ｍｇ「ＳＮ」,3,,,
1124029F1158,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠１ｍｇ「日医工」,3,20180615,,
1124029F2022,ロフラゼプ酸エチル,メイラックス錠２ｍｇ,2,,,
1124029F2073,ロフラゼプ酸エチル,ジメトックス錠２,3,,H31.3.31まで,
1124029F2090,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠２ｍｇ「サワイ」,3,,,
1124029F2103,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠２ｍｇ「トーワ」,3,,,
1124029F2111,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠２ｍｇ「ＳＮ」,3,,,
1124029F2120,ロフラゼプ酸エチル,ロフラゼプ酸エチル錠２ｍｇ「日医工」,3,20180615,,
1124030F1029,クアゼパム,ドラール錠１５,2,,,
1124030F1037,クアゼパム,クアゼパム錠１５ｍｇ「ＭＮＰ」,3,,,
1124030F1045,クアゼパム,クアゼパム錠１５ｍｇ「ＹＤ」,3,,,
1124030F1053,クアゼパム,クアゼパム錠１５ｍｇ「アメル」,3,,,
1124030F1061,クアゼパム,クアゼパム錠１５ｍｇ「トーワ」,3,,,
1124030F1070,クアゼパム,クアゼパム錠１５ｍｇ「日医工」,3,,,
1124030F1088,クアゼパム,クアゼパム錠１５ｍｇ「サワイ」,3,,,
1124030F2025,クアゼパム,ドラール錠２０,2,,,
1124030F2033,クアゼパム,クアゼパム錠２０ｍｇ「ＭＮＰ」,3,,,
1124030F2041,クアゼパム,クアゼパム錠２０ｍｇ「ＹＤ」,3,,,
1124030F2050,クアゼパム,クアゼパム錠２０ｍｇ「トーワ」,3,,,
1124030F2068,クアゼパム,クアゼパム錠２０ｍｇ「アメル」,3,,,
1124030F2076,クアゼパム,クアゼパム錠２０ｍｇ「サワイ」,3,,,
1124030F2084,クアゼパム,クアゼパム錠２０ｍｇ「日医工」,3,,,
1124400A1040,フルニトラゼパム,ロヒプノール静注用２ｍｇ,1,,H31.3.31まで,
1124400A1058,フルニトラゼパム,サイレース静注２ｍｇ,1,,,
1124401A1052,ミダゾラム,ドルミカム注射液１０ｍｇ,2,,,
1124401A1060,ミダゾラム,ミダゾラム注１０ｍｇ「サンド」,3,,,
1124401A1087,ミダゾラム,ミダゾラム注射液１０ｍｇ「テバ」,3,,,
1124402A1030,ジアゼパム,セルシン注射液５ｍｇ,2,,,
1124402A1049,ジアゼパム,ジアゼパム注射液５ｍｇ「タイヨー」,3,,,
1124402A2045,ジアゼパム,ホリゾン注射液１０ｍｇ,2,,,
1124402A2053,ジアゼパム,セルシン注射液１０ｍｇ,2,,,
1124402A2061,ジアゼパム,ジアゼパム注射液１０ｍｇ「タイヨー」,3,,,
1124700J1036,ブロマゼパム,セニラン坐剤３ｍｇ,1,,,
1124701J1022,ジアゼパム,ダイアップ坐剤４,1,,,
1124701J2029,ジアゼパム,ダイアップ坐剤６,1,,,
1124701J3025,ジアゼパム,ダイアップ坐剤１０,1,,,
1125001X1017,アモバルビタール,アモバルビタール,,,,
1125002X1011,バルビタール,バルビタール,,,,
1125003B2015,フェノバルビタール,フェノバルビタール散１０％,,,,
1125003B2031,フェノバルビタール,フェノバール散１０％,,,,
1125003B2139,フェノバルビタール,フェノバルビタール散１０％「マルイシ」,,,,
1125003B2163,フェノバルビタール,フェノバルビタール散１０％「シオエ」,,,,
1125003X1016,フェノバルビタール,フェノバルビタール,,,,
1125003X1164,フェノバルビタール,フェノバルビタール「ホエイ」原末,,,,
1125004F1023,フェノバルビタール,フェノバール錠３０ｍｇ,,,,
1125004S1030,フェノバルビタール,フェノバールエリキシル０．４％,,,,
1125006F1030,ペントバルビタールカルシウム,ラボナ錠５０ｍｇ,,,,
1125401D2028,セコバルビタールナトリウム,注射用アイオナール・ナトリウム（０．２）,,,,
1125402A1054,フェノバルビタール,フェノバール注射液１００ｍｇ,,,,
1125700J1025,フェノバルビタールナトリウム,ワコビタール坐剤１５,1,,,
1125700J2021,フェノバルビタールナトリウム,ルピアール坐剤２５,1,,,
1125700J3028,フェノバルビタールナトリウム,ワコビタール坐剤３０,1,,,
1125700J4024,フェノバルビタールナトリウム,ルピアール坐剤５０,1,,,
1125700J4032,フェノバルビタールナトリウム,ワコビタール坐剤５０,1,,,
1125700J5020,フェノバルビタールナトリウム,ルピアール坐剤１００,1,,,
1125700J5039,フェノバルビタールナトリウム,ワコビタール坐剤１００,1,,,
1126001X1014,臭化カリウム,臭化カリウム,,,,
1126002X1019,臭化ナトリウム,臭化ナトリウム,,,,
1129004Q1031,トリクロホスナトリウム,トリクロリールシロップ１０％,,,,
1129006F1021,リルマザホン塩酸塩水和物,リスミー錠１ｍｇ,2,,,
1129006F1030,リルマザホン塩酸塩水和物,塩酸リルマザホン錠１「ＭＥＥＫ」,3,,,
1129006F2028,リルマザホン塩酸塩水和物,リスミー錠２ｍｇ,2,,,
1129006F2036,リルマザホン塩酸塩水和物,塩酸リルマザホン錠２「ＭＥＥＫ」,3,,,
1129007F1026,ゾピクロン,アモバン錠７．５,2,,,
1129007F1034,ゾピクロン,アモバンテス錠７．５,3,,,
1129007F1077,ゾピクロン,ドパリール錠７．５,3,,H31.3.31まで,
1129007F1107,ゾピクロン,ゾピクロン錠７．５ｍｇ「トーワ」,3,,,
1129007F1123,ゾピクロン,ゾピクロン錠７．５ｍｇ「サワイ」,3,,,
1129007F1140,ゾピクロン,ゾピクロン錠７．５ｍｇ「杏林」,3,20180615,,
1129007F2022,ゾピクロン,アモバン錠１０,2,,,
1129007F2057,ゾピクロン,ドパリール錠１０,3,,H31.3.31まで,
1129007F2073,ゾピクロン,ゾピクロン錠１０ｍｇ「トーワ」,3,,,
1129007F2081,ゾピクロン,アモバンテス錠１０,3,,,
1129007F2103,ゾピクロン,ゾピクロン錠１０ｍｇ「サワイ」,3,,,
1129007F2120,ゾピクロン,ゾピクロン錠１０ｍｇ「杏林」,3,20180615,,
1129008F1039,タンドスピロンクエン酸塩,セディール錠５ｍｇ,2,,,
1129008F1047,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠５ｍｇ「アメル」,3,,,
1129008F1055,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠５ｍｇ「サワイ」,3,,,
1129008F1063,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠５ｍｇ「トーワ」,3,,,
1129008F1071,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠５ｍｇ「日医工」,3,,,
1129008F2035,タンドスピロンクエン酸塩,セディール錠１０ｍｇ,2,,,
1129008F2043,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠１０ｍｇ「トーワ」,3,,,
1129008F2051,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠１０ｍｇ「アメル」,3,,,
1129008F2060,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠１０ｍｇ「サワイ」,3,,,
1129008F2078,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠１０ｍｇ「日医工」,3,,,
1129008F3023,タンドスピロンクエン酸塩,セディール錠２０ｍｇ,2,,,
1129008F3031,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠２０ｍｇ「トーワ」,3,,,
1129008F3040,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠２０ｍｇ「アメル」,3,,,
1129008F3058,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠２０ｍｇ「サワイ」,3,,,
1129008F3066,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩錠２０ｍｇ「日医工」,3,,,
1129009F1017,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩５ｍｇ錠,3,,,
1129009F1025,ゾルピデム酒石酸塩,マイスリー錠５ｍｇ,2,,,
1129009F1033,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＡＡ」,3,,,
1129009F1041,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＡＦＰ」,3,,,
1129009F1050,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＤＫ」,3,,,
1129009F1068,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＤＳＥＰ」,3,,,
1129009F1076,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＤＳＰ」,3,,,
1129009F1084,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＥＥ」,3,,,
1129009F1092,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「Ｆ」,3,,,
1129009F1106,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＦＦＰ」,3,,,
1129009F1114,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＪＧ」,3,,,
1129009F1122,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＫＮ」,3,,,
1129009F1130,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＫＯＧ」,3,,,
1129009F1165,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＴＣＫ」,3,,,
1129009F1173,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＹＤ」,3,,,
1129009F1181,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ＺＥ」,3,,,
1129009F1211,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「オーハラ」,3,,,
1129009F1220,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「杏林」,3,,,
1129009F1238,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ケミファ」,3,,,
1129009F1246,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「サワイ」,3,,,
1129009F1262,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「タカタ」,3,,,
1129009F1270,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「テバ」,3,,,
1129009F1289,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「トーワ」,3,,,
1129009F1297,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「日医工」,3,,,
1129009F1300,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「日新」,3,,,
1129009F1319,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「ファイザー」,3,,,
1129009F1335,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「明治」,3,,,
1129009F2013,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩１０ｍｇ錠,3,,,
1129009F2021,ゾルピデム酒石酸塩,マイスリー錠１０ｍｇ,2,,,
1129009F2030,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＡＡ」,3,,,
1129009F2048,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＡＦＰ」,3,,,
1129009F2056,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＫ」,3,,,
