基準番号（ＨＯＴ番号）,処方用番号（ＨＯＴ７）,会社識別用番号,調剤用番号,物流用番号,ＪＡＮコード,薬価基準収載医薬品コード,個別医薬品コード,レセプト電算処理システムコード（１）,レセプト電算処理システムコード（２）,告示名称,販売名,レセプト電算処理システム医薬品名,規格単位,包装形態,包装単位数,包装単位単位,包装総量数,包装総量単位,区分,製造会社,販売会社,更新区分,更新年月日
100322202,1003222,02,,,,1119702G1020,1119702G1020,661110018,,セボフレン,,セボフレン,１ｍＬ,,,,,,外,,大日本製薬,1,20011214
100322204,1003222,04,,,,1119702G1020,1119702G1020,661110018,,セボフレン,,セボフレン,１ｍＬ,,,,,,外,,丸石製薬,1,20011214
100323901,1003239,01,,,,1121001X1018,1121001X1026,611120070,,ブロムワレリル尿素,,ブロムワレリル尿素,１ｇ,,,,,,内,,岩城製薬,1,20020320
100323902,1003239,02,,,,1121001X1018,1121001X1140,611120120,,ブロムワレリル尿素,,ブロバリン,１ｇ,,,,,,内,,日本新薬,1,20011214
100323903,1003239,03,,,,1121001X1018,1121001X1174,611120123,,ブロムワレリル尿素,,ブロムワレリル尿素「ヒシヤマ」,１ｇ,,,,,,内,,菱山製薬,1,20011214
100323904,1003239,04,,,,1121001X1018,1121001X1107,611120155,,ブロムワレリル尿素,,ブロムワレリル尿素「ホエイ」,１ｇ,,,,,,内,,メルクホエイ,1,20011214
100323904,1003239,04,,,,1121001X1018,1121001X1158,611120121,,ブロムワレリル尿素,,ブロムワレリル尿素（三晃）,１ｇ,,,,,,内,,メルクホエイ,1,20020320
100323905,1003239,05,,,,1121001X1018,1121001X1115,610421000,,ブロムワレリル尿素,,ブロムワレリル尿素「マルイシ」,１ｇ,,,,,,内,,丸石製薬,1,20011214
100323906,1003239,06,,,,1121001X1018,1121001X1158,611120121,,ブロムワレリル尿素,,ブロムワレリル尿素（三晃）,１ｇ,,,,,,内,,模範研究所,1,20011214
100323907,1003239,07,,,,1121001X1018,1121001X1034,610441001,,ブロムワレリル尿素,,ブロムワレリル尿素「エビス」,１ｇ,,,,,,内,,エビス製薬,1,20011214
100323908,1003239,08,,,,1121001X1018,1121001X1166,611120122,,ブロムワレリル尿素,,ブロムワレリル尿素〈ハチ〉,１ｇ,,,,,,内,,健栄製薬,1,20020320
100323909,1003239,09,,,,1121001X1018,1121001X1190,611120125,,ブロムワレリル尿素,,ブロムワレリル尿素「ヨシダ」,１ｇ,,,,,,内,,吉田製薬,1,20011214
100323911,1003239,11,,,,1121001X1018,1121001X1034,610441001,,ブロムワレリル尿素,,ブロムワレリル尿素「エビス」,１ｇ,,,,,,内,,日興製薬,1,20011214
100323912,1003239,12,,,,1121001X1018,1121001X1131,611120070,,ブロムワレリル尿素,,ブロムワレリル尿素,１ｇ,,,,,,内,,山善製薬,1,20011214
100323914,1003239,14,,,,1121001X1018,1121001X1085,611120070,,ブロムワレリル尿素,,ブロムワレリル尿素,１ｇ,,,,,,内,,中北薬品,1,20011214
100323916,1003239,16,,,,1121001X1018,1121001X1042,610408645,,ブロムワレリル尿素,,ブロムワレリル尿素「三恵」,１ｇ,,,,,,内,,三恵薬品,1,20011214
100324601,1003246,01,,,,1123001X1012,1123001X1020,611120156,,抱水クロラール,,抱水クロラール「ホエイ」,１ｇ,,,,,,内,,メルクホエイ,1,20011214
100325303,1003253,03,,,,1123700J1020,1123700J1020,661120001,,エスクレ坐剤「２５０」,,エスクレ坐剤　２５０ｍｇ,２５０ｍｇ１個,,,,,,外,,エスエス,1,20011214
100326003,1003260,03,,,,1123700J2027,1123700J2027,661120002,,エスクレ坐剤「５００」,,エスクレ坐剤　５００ｍｇ,５００ｍｇ１個,,,,,,外,,エスエス,1,20011214
100327701,1003277,01,,,,1124001B1020,1124001B1020,611120082,,ユーロジン散,,ユーロジン散　１％,１％１ｇ,,,,,,内,,武田薬品,1,20011214
100327701,1003277,01,,,,1124001B1039,1124001B1039,610454088,,ユーロジン散１％,,ユーロジン散１％,１％１ｇ,,,,,,内,,武田薬品,1,20011214
100328401,1003284,01,,,,1124001F1022,1124001F1022,611120080,,ユーロジン１ｍｇ錠,,ユーロジン１ｍｇ錠,１ｍｇ１錠,,,,,,内,,武田薬品,1,20011214
100329101,1003291,01,,,,1124001F2029,1124001F2029,611120081,,ユーロジン２ｍｇ錠,,ユーロジン２ｍｇ錠,２ｍｇ１錠,,,,,,内,,武田薬品,1,20011214
100331401,1003314,01,,,,1124002M1042,1124002M1042,611120071,,ベノジールカプセル１０,,ベノジールカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,協和発酵,1,20011214
100332101,1003321,01,,,,1124002M2022,1124002M2022,611120015,,ダルメートカプセル１５,,ダルメートカプセル　１５ｍｇ,１５ｍｇ１カプセル,,,,,,内,,日本ロシュ,1,20011214
100332102,1003321,02,,,,1124002M2022,1124002M2022,611120015,,ダルメートカプセル１５,,ダルメートカプセル　１５ｍｇ,１５ｍｇ１カプセル,,,,,,内,,共和薬工,1,20020320
100333802,1003338,02,,,,1124002M2030,1124002M2030,611120095,,ネルガート１５,,ネルガート　１５ｍｇ,１５ｍｇ１カプセル,,,,,,内,,鶴原製薬,1,20011214
100334501,1003345,01,,,,1124002M2049,1124002M2049,611120072,,ベノジールカプセル１５,,ベノジールカプセル　１５ｍｇ,１５ｍｇ１カプセル,,,,,,内,,協和発酵,1,20011214
100335201,1003352,01,,,,1124003B1038,1124003B1038,611120039,,ネルボン散,,ネルボン散　１％,１％１ｇ,,,,,,内,,三共,1,20011214
100336901,1003369,01,,,,1124003B1046,1124003B1046,611120049,,ノイマックス散,,ノイマックス散　１％,１％１ｇ,,,,,,内,,東洋ファルマー,1,20011214
100337601,1003376,01,,,,1124003B1062,1124003B1062,611120136,,ニトラゼパム散（旭化成）,,ニトラゼパム散（旭化成）　１％,１％１ｇ,,,,,,内,,旭化成,1,20011214
100338301,1003383,01,,,,1124003C1076,1124003C1076,611120044,,ネルロレン細粒,,ネルロレン細粒　１％,１％１ｇ,,,,,,内,,辰巳化学,1,20011214
100339001,1003390,01,,,,1124003C1084,1124003C1084,611120073,,ベンザリン細粒,,ベンザリン細粒　１％,１％１ｇ,,,,,,内,,塩野義,1,20011214
100340601,1003406,01,,,,1124003F1021,1124003F1021,611120077,,ベンザリン錠２,,ベンザリン錠　２ｍｇ,２ｍｇ１錠,,,,,,内,,塩野義,1,20011214
100342001,1003420,01,,,,1124003F2044,1124003F2044,611120018,,チスボン錠５,,チスボン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,鶴原製薬,1,20011214
100343701,1003437,01,,,,1124003F2087,1124003F2087,611120028,,ニトラゼパム錠「トーワ」,,ニトラゼパム錠「トーワ」　５ｍｇ,５ｍｇ１錠,,,,,,内,,東和薬品,1,20011214
100344401,1003444,01,,,,1124003F2141,1124003F2141,611120037,,ネムナミン錠５,,ネムナミン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,北陸製薬,1,20011214
100345101,1003451,01,,,,1124003F2150,1124003F2150,611120040,,ネルボン錠,,ネルボン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,三共,1,20011214
100345101,1003451,01,,,,1124003F2230,1124003F2230,610454053,,ネルボン錠５ｍｇ,,ネルボン錠５ｍｇ,５ｍｇ１錠,,,,,,内,,三共,1,20011214
100346801,1003468,01,,,,1124003F2176,1124003F2176,611120046,,ネルロレン錠「５」,,ネルロレン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,辰巳化学,1,20011214
100347502,1003475,02,,,,1124003F2184,1124003F2184,611120048,,ノイクロニック錠５,,ノイクロニック錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,大洋薬工（岐阜）,1,20011214
100349901,1003499,01,,,,1124003F2206,1124003F2206,611120061,,ヒルスカミン,,ヒルスカミン　５ｍｇ,５ｍｇ１錠,,,,,,内,,イセイ,1,20011214
100350501,1003505,01,,,,1124003F2222,1124003F2222,610453117,,ベンザリン錠５,,ベンザリン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,塩野義,1,20011214
100352901,1003529,01,,,,1124003F3040,1124003F3040,611120017,,チスボン錠１０,,チスボン錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,鶴原製薬,1,20011214
100354301,1003543,01,,,,1124003F3083,1124003F3083,611120041,,ネルボン錠１０ｍｇ,,ネルボン錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,三共,1,20011214
100355001,1003550,01,,,,1124003F3091,1124003F3091,611120045,,ネルロレン錠「１０」,,ネルロレン錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,辰巳化学,1,20011214
100357401,1003574,01,,,,1124003F3121,1124003F3121,611120076,,ベンザリン錠１０,,ベンザリン錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,塩野義,1,20011214
100360401,1003604,01,,,,1124003M1039,1124003M1039,611120135,,ニトラゼパムカプセル５ｍｇ（旭化成）,,ニトラゼパムカプセル５ｍｇ（旭化成）,５ｍｇ１カプセル,,,,,,内,,旭化成,1,20011214
100361101,1003611,01,,,,1124004F1026,1124004F1026,611120005,,エリミン錠３,,エリミン錠　３ｍｇ,３ｍｇ１錠,,,,,,内,,住友製薬,1,20011214
100362801,1003628,01,,,,1124004F2022,1124004F2022,611120006,,エリミン錠５,,エリミン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,住友製薬,1,20011214
100363501,1003635,01,,,,1124005C1024,1124005C1024,611120011,,ソメリン細粒,,ソメリン細粒　１％,１％１ｇ,,,,,,内,,三共,1,20011214
100364201,1003642,01,,,,1124005F1020,1124005F1020,611120013,,ソメリン錠５ｍｇ,,ソメリン錠５ｍｇ,５ｍｇ１錠,,,,,,内,,三共,1,20011214
100365901,1003659,01,,,,1124005F2027,1124005F2027,611120012,,ソメリン錠１０ｍｇ,,ソメリン錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,三共,1,20011214
100366601,1003666,01,,,,1124006M1024,1124006M1024,611120003,,インスミン１０,,インスミン　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,杏林製薬,1,20011214
100367301,1003673,01,,,,1124006M2020,1124006M2020,611120004,,インスミン１５,,インスミン　１５ｍｇ,１５ｍｇ１カプセル,,,,,,内,,杏林製薬,1,20011214
100368002,1003680,02,,,,1124007F1020,1124007F1020,611120117,,ハルシオン０．１２５ｍｇ錠,,ハルシオン０．１２５ｍｇ錠,０．１２５ｍｇ１錠,,,,,,内,,ファルマシア,1,20011214
100370301,1003703,01,,,,1124007F1046,1124007F1046,610412126,,トリアゾラム錠０．１２５ｍｇ「ＥＭＥＣ」,,トリアゾラム錠０．１２５ｍｇ「ＥＭＥＣ」,０．１２５ｍｇ１錠,,,,,,内,,エルメッドエーザイ,1,20011214
100371002,1003710,02,,,,1124007F2026,1124007F2026,611120055,,ハルシオン０．２５ｍｇ錠,,ハルシオン０．２５ｍｇ錠,０．２５ｍｇ１錠,,,,,,内,,ファルマシア,1,20011214
100372701,1003727,01,,,,1124007F2034,1124007F2034,611120139,,アサシオン０．２５ｍｇ錠,,アサシオン０．２５ｍｇ錠,０．２５ｍｇ１錠,,,,,,内,,日本ケミファ,1,20011214
100372702,1003727,02,,,,1124007F2034,1124007F2034,611120139,,アサシオン０．２５ｍｇ錠,,アサシオン０．２５ｍｇ錠,０．２５ｍｇ１錠,,,,,,内,,長生堂,1,20011214
100373401,1003734,01,,,,1124007F2042,1124007F2042,611120140,,アスコマーナ錠０．２５,,アスコマーナ錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,日新（山形）,1,20011214
100374101,1003741,01,,,,1124007F2050,1124007F2050,611120142,,カムリトン０．２５ｍｇ錠,,カムリトン０．２５ｍｇ錠,０．２５ｍｇ１錠,,,,,,内,,寿,1,20011214
100375801,1003758,01,,,,1124007F2077,1124007F2077,611120144,,トリアラム錠,,トリアラム錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,小林化工,1,20011214
100376501,1003765,01,,,,1124007F2093,1124007F2093,611120146,,ネスゲン錠「０．２５」,,ネスゲン錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,辰巳化学,1,20011214
100376502,1003765,02,,,,1124007F2093,1124007F2093,611120146,,ネスゲン錠「０．２５」,,ネスゲン錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,メルクホエイ,1,20011214
100378902,1003789,02,,,,1124007F2115,1124007F2115,611120149,,パルレオン錠０．２５ｍｇ,,パルレオン錠０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,大洋薬工（岐阜）,1,20011214
100378903,1003789,03,,,,1124007F2115,1124007F2115,611120149,,パルレオン錠０．２５ｍｇ,,パルレオン錠０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,マルコ,1,20011214
100380201,1003802,01,,,,1124007F2131,1124007F2131,610406300,,ミンザイン錠,,ミンザイン錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,日医工,1,20011214
100381901,1003819,01,,,,1124007F2140,1124007F2140,610422255,,フロサイン錠,,フロサイン錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,模範研究所,1,20011214
100381902,1003819,02,,,,1124007F2140,1124007F2140,610422255,,フロサイン錠,,フロサイン錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,メルクホエイ,1,20020320
100382601,1003826,01,,,,1124008F1024,1124008F1024,611120087,,サイレース錠１ｍｇ,,サイレース錠１ｍｇ,１ｍｇ１錠,,,,,,内,,エーザイ,1,20011214
100383301,1003833,01,,,,1124008F1032,1124008F1032,611120097,,ロヒプノール錠１,,ロヒプノール錠　１ｍｇ,１ｍｇ１錠,,,,,,内,,日本ロシュ,1,20011214
100384001,1003840,01,,,,1124008F1040,1124008F1040,611120150,,ビビットエース錠１ｍｇ,,ビビットエース錠１ｍｇ,１ｍｇ１錠,,,,,,内,,辰巳化学,1,20011214
100385701,1003857,01,,,,1124008F2020,1124008F2020,611120088,,サイレース錠２ｍｇ,,サイレース錠２ｍｇ,２ｍｇ１錠,,,,,,内,,エーザイ,1,20011214
100386401,1003864,01,,,,1124008F2039,1124008F2039,611120098,,ロヒプノール錠２,,ロヒプノール錠　２ｍｇ,２ｍｇ１錠,,,,,,内,,日本ロシュ,1,20011214
100387104,1003871,04,,,,1124009F1029,1124009F1029,611120110,,レンドルミン錠,,レンドルミン錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,日本ベーリンガー,1,20011214
100388801,1003888,01,,,,1124009F1037,1124009F1037,610422093,,グッドミン錠０．２５ｍｇ,,グッドミン錠０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,三菱ウェルファーマ,1,20011214
100389501,1003895,01,,,,1124009F1045,1124009F1045,610422131,,シンベラミン錠,,シンベラミン錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,大洋薬工（岐阜）,1,20011214
100390101,1003901,01,,,,1124009F1053,1124009F1053,610422141,,ゼストロミン錠,,ゼストロミン錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,東和薬品,1,20011214
100391802,1003918,02,,,,1124009F1061,1124009F1061,610422159,,ソレントミン錠,,ソレントミン錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,メルクホエイ,1,20011214
100392501,1003925,01,,,,1124009F1070,1124009F1070,610422217,,ノクスタール錠０．２５ｍｇ,,ノクスタール錠０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,アズウェル,1,20011214
100393201,1003932,01,,,,1124009F1088,1124009F1088,610422293,,ユリモラン錠,,ユリモラン錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,長生堂,1,20011214
100394901,1003949,01,,,,1124009F1096,1124009F1096,610422315,,レドルパー錠０．２５ｍｇ,,レドルパー錠０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,旭化成,1,20011214
100394902,1003949,02,,,,1124009F1096,1124009F1096,610422315,,レドルパー錠０．２５ｍｇ,,レドルパー錠０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,大原薬工,1,20011214
100395601,1003956,01,,,,1124009F1100,1124009F1100,610422318,,レンデム錠,,レンデム錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,沢井製薬,1,20011214
100396301,1003963,01,,,,1124009F1118,1124009F1118,610422334,,ロンフルマン錠０．２５ｍｇ,,ロンフルマン錠０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,共和薬工,1,20011214
100397001,1003970,01,,,,1124009F1126,1124009F1126,610433012,,アムネゾン錠０．２５ｍｇ,,アムネゾン錠０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,ナガセ,1,20011214
100397002,1003970,02,,,,1124009F1126,1124009F1126,610433012,,アムネゾン錠０．２５ｍｇ,,アムネゾン錠０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,日新（山形）,1,20011214
100398701,1003987,01,,,,1124009F1142,1124009F1142,610433115,,ブロゾーム錠,,ブロゾーム錠　０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,菱山製薬,1,20011214
100399401,1003994,01,,,,1124009F1150,1124009F1150,610433116,,ブロチゾラン錠０．２５ｍｇ,,ブロチゾラン錠０．２５ｍｇ,０．２５ｍｇ１錠,,,,,,内,,日医工,1,20011214
100400701,1004007,01,,,,1124010F1021,1124010F1021,611120118,,エバミール錠１．０,,エバミール錠　１ｍｇ,１ｍｇ１錠,,,,,,内,,日本シェーリング,1,20011214
100401401,1004014,01,,,,1124010F1030,1124010F1030,611120119,,ロラメット錠１．０,,ロラメット錠　１ｍｇ,１ｍｇ１錠,,,,,,内,,山之内,1,20011214
100401402,1004014,02,,,,1124010F1030,1124010F1030,611120119,,ロラメット錠１．０,,ロラメット錠　１ｍｇ,１ｍｇ１錠,,,,,,内,,武田薬品,1,20020530
100404501,1004045,01,,,,1124013B1031,1124013B1031,611170180,,セレナール散１０％,,セレナール散１０％,１０％１ｇ,,,,,,内,,三共,1,20011214
100406901,1004069,01,,,,1124013B1058,1124013B1058,611170522,,ネブスン散,,ネブスン散　１０％,１０％１ｇ,,,,,,内,,辰巳化学,1,20011214
100407601,1004076,01,,,,1124013C1045,1124013C1045,611170537,,ペルサール細粒,,ペルサール細粒　１０％,１０％１ｇ,,,,,,内,,イセイ,1,20011214
100408301,1004083,01,,,,1124013F1033,1124013F1033,611170183,,セレナール錠５,,セレナール錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,三共,1,20011214
100409001,1004090,01,,,,1124013F2064,1124013F2064,611170181,,セレナール錠１０,,セレナール錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,三共,1,20011214
100411301,1004113,01,,,,1124013F2080,1124013F2080,611170516,,トッカータ錠１０ｍｇ,,トッカータ錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,共和薬工,1,20011214
100412001,1004120,01,,,,1124013F2099,1124013F2099,611170523,,ネブスン錠,,ネブスン錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,辰巳化学,1,20011214
100413701,1004137,01,,,,1124013F2102,1124013F2102,611170536,,ペルサール１０,,ペルサール　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,イセイ,1,20011214
100414401,1004144,01,,,,1124013F3095,1124013F3095,611170649,,ペルサール２０,,ペルサール　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,イセイ,1,20011214
100416801,1004168,01,,,,1124014B1036,1124014B1036,611170158,,セパゾン散１％,,セパゾン散１％,１％１ｇ,,,,,,内,,三共,1,20011214
100418201,1004182,01,,,,1124014F1038,1124014F1038,611170159,,セパゾン錠１,,セパゾン錠　１ｍｇ,１ｍｇ１錠,,,,,,内,,三共,1,20011214
100420501,1004205,01,,,,1124014F2034,1124014F2034,611170160,,セパゾン錠２,,セパゾン錠　２ｍｇ,２ｍｇ１錠,,,,,,内,,三共,1,20011214
100421201,1004212,01,,,,1124015M2020,1124015M2020,611170408,,メンドン７．５ｍｇ,,メンドン７．５ｍｇ,７．５ｍｇ１カプセル,,,,,,内,,大日本製薬,1,20011214
100422902,1004229,02,,,,1124017B1013,1124017B1110,610431114,,ジアゼパム１％散,,ジアゼパム散「アメル」　１％,１％１ｇ,,,,,,内,,共和薬工,1,20020530
100422905,1004229,05,,,,1124017B1013,1124017B1072,611170315,,ジアゼパム１％散,,パールキット散　１％,１％１ｇ,,,,,,内,,菱山製薬,1,20020530
100422906,1004229,06,,,,1124017B1013,1124017B1099,611170417,,ジアゼパム１％散,,リリーゼン散　１％,１％１ｇ,,,,,,内,,マルコ,1,20020530
100422907,1004229,07,,,,1124017B1013,1124017B1102,611170420,,ジアゼパム１％散,,リリバー散　１％,１％１ｇ,,,,,,内,,模範研究所,1,20020530
100422909,1004229,09,,,,1124017B1013,1124017B1102,611170420,,ジアゼパム１％散,,リリバー散　１％,１％１ｇ,,,,,,内,,メルクホエイ,1,20020530
100424301,1004243,01,,,,1124017B1056,1124017B1056,611170166,,セルシン１００倍散,,セルシン１００倍散　１％,１％１ｇ,,,,,,内,,武田薬品,1,20011214
100424301,1004243,01,,,,1124017B1129,1124017B1129,610454039,,セルシン散１％,,セルシン散１％,１％１ｇ,,,,,,内,,武田薬品,1,20011214
100425001,1004250,01,,,,1124017B1080,1124017B1080,611170371,,ホリゾン散,,ホリゾン散　１％,１％１ｇ,,,,,,内,,山之内,1,20011214
100426702,1004267,02,,,,1124017C1019,1124017C1043,611170204,,ジアゼパム１％細粒,,ソナコン細粒　１％,１％１ｇ,,,,,,内,,中外製薬,1,20020530
100426703,1004267,03,,,,1124017C1019,1124017C1027,611170098,,ジアゼパム１％細粒,,コンディション細粒　１％,１％１ｇ,,,,,,内,,日本オルガノン,1,20020530
100427401,1004274,01,,,,1124017F1023,1124017F1023,611170197,,セレンジン錠１,,セレンジン錠　１ｍｇ,１ｍｇ１錠,,,,,,内,,住友製薬,1,20011214
100428102,1004281,02,,,,1124017F2038,1124017F2038,611170099,,コンディション錠２,,コンディション錠　２ｍｇ,２ｍｇ１錠,,,,,,内,,日本オルガノン,1,20011214
100429801,1004298,01,,,,1124017F2046,1124017F2046,611170126,,ジアゼパム錠２「サワイ」,,ジアゼパム錠２「サワイ」　２ｍｇ,２ｍｇ１錠,,,,,,内,,沢井製薬,1,20011214
100430401,1004304,01,,,,1124017F2054,1124017F2054,611170127,,ジアゼパム錠２「トーワ」,,ジアゼパム錠２「トーワ」　２ｍｇ,２ｍｇ１錠,,,,,,内,,東和薬品,1,20011214
100431101,1004311,01,,,,1124017F2089,1124017F2089,611170132,,ジアパックス錠２ｍｇ,,ジアパックス錠２ｍｇ,２ｍｇ１錠,,,,,,内,,大鵬薬品,1,20011214
100432801,1004328,01,,,,1124017F2097,1124017F2097,611170145,,セエルカム錠２,,セエルカム錠　２ｍｇ,２ｍｇ１錠,,,,,,内,,鶴原製薬,1,20011214
100433501,1004335,01,,,,1124017F2100,1124017F2100,611170186,,セレナミン錠２ｍｇ,,セレナミン錠２ｍｇ,２ｍｇ１錠,,,,,,内,,旭化成,1,20011214
100434201,1004342,01,,,,1124017F2119,1124017F2119,611170199,,セレンジン錠２,,セレンジン錠　２ｍｇ,２ｍｇ１錠,,,,,,内,,住友製薬,1,20011214
100435901,1004359,01,,,,1124017F2127,1124017F2127,611170205,,ソナコン錠２,,ソナコン錠　２ｍｇ,２ｍｇ１錠,,,,,,内,,中外製薬,1,20011214
100436601,1004366,01,,,,1124017F2135,1124017F2135,611170005,,２ｍｇセルシン錠,,２ｍｇセルシン錠,２ｍｇ１錠,,,,,,内,,武田薬品,1,20011214
100437301,1004373,01,,,,1124017F2143,1124017F2143,611170316,,パールキット錠２ｍｇ,,パールキット錠２ｍｇ,２ｍｇ１錠,,,,,,内,,菱山製薬,1,20011214
100438001,1004380,01,,,,1124017F2151,1124017F2151,611170373,,ホリゾン錠２ｍｇ,,ホリゾン錠２ｍｇ,２ｍｇ１錠,,,,,,内,,山之内,1,20011214
100439701,1004397,01,,,,1124017F2160,1124017F2160,611170418,,リリーゼン錠２ｍｇ,,リリーゼン錠２ｍｇ,２ｍｇ１錠,,,,,,内,,マルコ,1,20011214
